"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Native","JS","FlushEarly","JVM","Reference","InstrumentPropertyAccessors","Dedicated","CILabel","Methods","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5408.8587","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253547.82","254175.5","20819.052189496517","225616","362086","247777.07315142071","259318.5668485793","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24161.2687","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215945.6","215117","4453.915887698586","207980","233162","214711.03750220576","217180.16249779426","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2941.9269","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5408.8587","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248310.6","247217.5","12641.434255685403","226865","283791","244806.57319664134","251814.62680335867","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24161.2687","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217228.48","216993.5","3691.750291376375","209101","225310","216205.179027132","218251.78097286803","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2545.6035","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5528.6886","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251896.86","250899.5","14760.000120305845","230914","307294","247805.59669925005","255988.12330074992","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22856.0911","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222715.78","221826","8127.145052582382","207419","247845","220463.05032367987","224968.50967632013","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2545.6035","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5528.6886","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235521.4","233461","8450.208334589106","222258","257067","233179.1217505958","237863.67824940418","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22856.0911","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218592.94","217864","5048.655243907701","208945","239431","217193.52416333466","219992.35583666535","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3360.6923","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5201.2282","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250952.46","244717.5","20612.522780977746","227304","342984","245238.9601827697","256665.9598172303","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20860.0385","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"215589.16","215013","3700.268574698053","208986","226289","214563.49787945885","216614.82212054115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3360.6923","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5201.2282","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"277608.46","275182","13758.478315554807","250552","309615","273794.8043802312","281422.11561976885","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","20860.0385","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","False","ci-windows-large","System.String[]","System.Boolean[]","2026-06-04 02:54:39","1d828e6f1ee93e7e441eadd2907405c3c0fe4f72","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.24","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.22","High performance","0.6","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
