"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","Enabled","CILabel","Common","FlushEarly","InstrumentPropertyAccessors","Reference","Methods","Dedicated","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2921.087","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137537.52","136569","4456.652039092914","130223","153425","136302.19907973325","138772.84092026672","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15480.9656","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155808.5","154830.5","5457.915170667649","146824","168133","154295.64309929856","157321.35690070144","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1641.341","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2921.087","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136218.3","135535","3502.2997590213226","131541","153969","135247.51203553402","137189.08796446596","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15480.9656","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153962.44","153974","4137.2664304749205","146634","167139","152815.6482537628","155109.2317462372","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1711.0708","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2860.94","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136362.06","135834","3294.87679872488","131057","145593","135448.76674679937","137275.35325320062","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14626.8957","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153742.1","153663","4783.209554562412","143898","164772","152416.261954548","155067.938045452","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1711.0708","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2860.94","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137172.28","136329.5","4160.535783001109","130375","150683","136019.0383183125","138325.5216816875","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14626.8957","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155219.62","154204","4867.763304367514","147191","169732","153870.3448508421","156568.89514915788","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1349.5757","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2708.3461","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136879.74","135267.5","7659.058056887643","129361","180551","134756.7574193055","139002.72258069448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14616.1493","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154233.82","154552.5","4194.526548603403","145753","163087","153071.1565587773","155396.48344122272","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1349.5757","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2708.3461","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137179.4","135142.5","12488.254787305275","128903","221592","133717.83237904674","140640.96762095325","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14616.1493","50","False","500","True","True","System.Boolean[]","ci-linux-large","True","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","System.Boolean[]","2026-09-23 03:52:38","cad11994015b7e9b0edb5244a56fe16cc9021fa9","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.63","145","82","0.02","183","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
