"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","Common","Methods","FlushEarly","CILabel","Native","TestKIR","Enabled","InstrumentPropertyAccessors","Reference","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5003.5224","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226295.72","225641.5","3130.0219275491945","221680","239222","225428.12218574883","227163.31781425118","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25959.3987","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179343.02","179088.5","2261.108753578696","175025","185177","178716.27262959894","179969.76737040104","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3557.7935","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5003.5224","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226074.44","224671.5","4131.398869484223","221121","242717","224929.2746586917","227219.6053413083","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25959.3987","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180514.36","179698.5","3834.324652559364","176797","201650","179451.53943046657","181577.1805695334","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2234.4699","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3967.1637","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226604.24","225078.5","5187.933037976745","219349","249817","225166.21832845392","228042.26167154606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18270.3654","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179899.86","179726.5","4299.905898400805","174368","204229","178707.98689326446","181091.7331067355","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2234.4699","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3967.1637","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226268.02","225566.5","3406.275657772679","222139","240889","225323.84855844892","227212.19144155105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18270.3654","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178976.58","178680.5","2503.053572608253","174651","189318","178282.7689472931","179670.39105270687","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1987.2166","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3525.5188","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226197.06","225126.5","5398.803277862718","220117","259137","224700.588080037","227693.531919963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17352.2139","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180270.4","179512.5","3679.767921918945","175549","193916","179250.4203704936","181290.37962950638","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1987.2166","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3525.5188","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225343.02","224866","2980.777295489571","221023","239210","224516.79068717174","226169.24931282824","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17352.2139","50","False","500","True","False","True","System.String[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","2026-06-18 02:49:27","bb5295ac074522cff9b30fda01d373fd81301f09","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","11.79","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","28.54","High performance","0.49","133","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
