"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Dedicated","JVM","Reference","Common","TestKIR","CILabel","Methods","Enabled","InstrumentPropertyAccessors","Native","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2987.3722","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120401.5","120319.5","2382.3792365050977","115565","126121","119741.13816671161","121061.86183328839","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13241.5624","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139370.12","140448","4939.447493022528","127276","150606","138000.9750074886","140739.2649925114","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1575.3777","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2987.3722","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119275.8","119222","2845.1450735939493","114994","128552","118487.16602100087","120064.43397899914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13241.5624","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139685.76","139498.5","4906.794496098117","129855","151308","138325.6659564647","141045.8540435353","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1356.5403","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2610.7078","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120370.82","119981.5","3788.132428185344","115947","139291","119320.80326182302","121420.836738177","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12731.0632","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140198.06","139347","6735.925412264586","129267","168797","138330.956733661","142065.163266339","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1356.5403","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2610.7078","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120075.62","119420","3211.9903797477095","116251","131713","119185.30168997878","120965.93831002121","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12731.0632","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140185.88","139933.5","5857.378377285684","131417","165082","138562.29754754278","141809.46245245723","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1145.9539","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2260.4553","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120138.98","119352.5","3352.758465222696","113403","128965","119209.64276739568","121068.31723260431","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12423.0979","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139509.98","139266","4576.60699328885","128580","150798","138241.40926280612","140778.5507371939","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1145.9539","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2260.4553","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120483.54","120141","3353.470442477677","114724","131883","119554.00541736922","121413.07458263077","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12423.0979","50","False","500","True","False","True","True","True","System.Boolean[]","ci-linux-large","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","2026-04-30 03:30:19","e5020c0e02c34d796a3a1f7739d21354462f6126","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.7","145","86","0.02","158","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
