"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","TestKIR","FlushEarly","CILabel","Methods","InstrumentPropertyAccessors","Common","JVM","Native","JS","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"80344.66666666667","102905","20034.530249879415","64631","102905","30606.818505387673","130082.51482794568","commonmain-plain-jar","1830.2015","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6117.796","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11413","11940","466.279958823023","11054","11940","10255.41050309994","12570.58949690006","commonmain-plain-linux-exe","16808.9403","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"169937","187491","15344.387996919264","159076","187491","131842.92787554298","208031.07212445702","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2453.5678","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4086.3934","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"57635","80832","20089.848506148574","45874","80832","7759.81839508417","107510.18160491582","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","20383.4186","3","False","20","True","System.Boolean[]","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","True","False","System.Boolean[]","2026-05-22 02:09:57","d5809717d63968ee1c0afb9cc151804af0155b25","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","14.06","145","86","0.02","160","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
