"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Dedicated","Reference","JVM","JS","FlushEarly","InstrumentPropertyAccessors","Common","Native","Enabled","CILabel","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"234451.34","196974","47367.847201175166","187735","330743","221321.6426212656","247581.03737873439","commonmain-plain-jar","3001.0709","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8495.4826","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239556.44","225355.5","23970.53363914342","220391","304004","232912.14706111976","246200.73293888025","commonmain-plain-win-exe","111899.6037","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192095.96","189265.5","8960.869482138347","185668","225188","189612.13370215014","194579.78629784985","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3687.2055","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5625.6944","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228802.78","225934.5","10194.94488638004","221160","281653","225976.88545211087","231628.67454788912","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","32152.7067","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201000.2","196762.5","13429.510447411805","190632","261720","197277.72962109087","204722.67037890916","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3687.2055","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","5625.6944","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228982.94","226239.5","9872.77600564051","223259","277813","226246.3461098121","231719.53389018791","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","32152.7067","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203668.1","198816.5","14140.645204010823","192052","249758","199748.51312326925","207587.68687673076","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4575.438","50","False","500","System.Boolean[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","System.String[]","2026-07-13 02:00:44","2e11572caffc34624e733520ab8983f9710a59fa","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.08","141","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
