"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","Dedicated","JS","Reference","TestKIR","Common","Methods","FlushEarly","CILabel","JVM","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3153.0592","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113811.62","113167","2910.1993542065966","109504","124433","113004.95389439803","114618.28610560196","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12166.3416","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109825.94","109098","3919.583585806335","102785","119746","108739.48685988315","110912.39314011685","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1717.7949","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3153.0592","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114103.12","113898.5","2404.9631558975057","109722","118539","113436.49822363273","114769.74177636726","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","12166.3416","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109129.94","109602","3367.452439916864","102512","115400","108196.52980540934","110063.35019459066","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1732.1771","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2472.5909","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113209.82","112846","1983.628932650706","109847","118776","112659.98611190302","113759.65388809699","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11511.4064","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"108910.4","108626","3704.0581385660716","101804","117318","107883.6874659458","109937.11253405419","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1732.1771","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2472.5909","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113530.26","112963.5","3047.064628357553","109019","124469","112685.65677592128","114374.86322407871","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11511.4064","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110621.6","110330","3701.0435373426935","102637","118255","109595.7230707731","111647.4769292269","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1388.5233","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2361.2162","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113693.5","113275.5","2318.0363457029744","109372","121538","113050.97310611929","114336.02689388071","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11167.6325","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109820.32","109808","3943.497610714921","102033","122584","108727.23823036526","110913.40176963476","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1388.5233","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2361.2162","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"113755.36","113603.5","2677.234010950062","108710","122664","113013.26859300531","114497.45140699469","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11167.6325","50","False","500","System.Boolean[]","True","False","True","True","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","System.Boolean[]","2026-09-06 03:33:30","60bc741f0162fe9e094b32cf546fcfbaceb6c5fa","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","83","0.02","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
