"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","TestKIR","JS","Dedicated","Enabled","CILabel","Methods","FlushEarly","JVM","Native","Common","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"108798","143359","36364.44413159646","70865","143359","18519.407084274222","199076.59291572578","commonmain-plain-jar","1832.0674","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6199.2081","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11255.666666666666","11461","251.60551133338342","10975","11461","10631.0292749656","11880.304058367732","commonmain-plain-linux-exe","16866.0081","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153972.66666666666","231514","67153.04185465715","115009","231514","-12741.888537593913","320687.22187092726","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2117.9253","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4352.9804","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"49992","55252","4646.477805822385","46446","55252","38456.625588506744","61527.374411493256","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19615.8914","3","False","20","True","System.Boolean[]","True","False","System.Boolean[]","ci-linux-small","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","2026-05-06 12:45:57","04a20682db65fa2507f62147e008777e80c6f636","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.72","145","86","0.03","159","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
