"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Reference","CILabel","JS","JVM","Native","FlushEarly","InstrumentPropertyAccessors","Methods","Dedicated","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"190087","178460.5","32038.915576313168","173267","304869","181206.26568937727","198967.73431062273","commonmain-plain-jar","2486.9862","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","9133.1579","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240985.8","230235.5","17988.04903715979","223916","293377","235999.7671898392","245971.8328101608","commonmain-plain-win-exe","92370.8396","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"207018.7","208358.5","10168.285891407055","179737","234112","204200.1949485119","209837.20505148813","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3304.0367","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6632.8539","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240888.22","233616","15957.114980523033","228237","291570","236465.1333893267","245311.30661067332","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24732.6825","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201826.4","206623.5","14655.599038718052","174588","230996","197764.07520264958","205888.7247973504","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3304.0367","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6632.8539","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231273.68","227749","10461.28951633066","225466","286081","228373.95848727436","234173.40151272563","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","24732.6825","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210280.86","208595","9811.595199953732","176844","241897","207561.22456394328","213000.4954360567","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4113.3449","50","False","500","True","System.Boolean[]","True","ci-windows-large","True","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-07-03 02:10:10","d25e7f7800393a86af303dc41abfffe19a74b261","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.71","High performance","0.23","139","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
