"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","JVM","Reference","Dedicated","Native","FlushEarly","Methods","CILabel","Enabled","Common","TestKIR","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4906.722","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224903.84","222517.5","7446.13111803296","217539","251558","222839.8777555912","226967.80224440878","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23058.7584","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190258.82","188742.5","7041.348643693254","182865","228954","188307.05773313556","192210.58226686445","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4223.3528","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4906.722","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221790.4","219327","7460.004275864617","214111","258151","219722.59231243134","223858.20768756865","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23058.7584","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210303.76","207165.5","17313.14225309543","188399","248001","205504.80180600204","215102.71819399798","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4155.2645","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9257.1973","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226574.82","223503","8892.740675519603","217933","264049","224109.8780438826","229039.7619561174","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30534.9377","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195446.52","193852","6128.734584042016","187302","222182","193747.7214444883","197145.31855551168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4155.2645","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","9257.1973","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"235779.92","233422","11258.78655302296","226226","302287","232659.14358672683","238900.6964132732","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","30534.9377","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198704.62","193244.5","13844.909165156289","184853","244098","194867.00697100724","202542.23302899275","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3896.9934","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6357.5078","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227288.78","224334","8306.000415952067","218054","263084","224986.47414628605","229591.08585371394","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23017.7841","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200391.12","196232.5","11225.667295542125","188502","229779","197279.5237765354","203502.71622346458","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3896.9934","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","6357.5078","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226747.56","223836.5","7609.889843821791","218766","251554","224638.2061526416","228856.9138473584","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23017.7841","50","False","500","System.Boolean[]","True","True","False","True","System.Boolean[]","System.String[]","ci-windows-large","System.Boolean[]","True","System.Boolean[]","True","2026-09-02 02:11:02","7b5517d9c217e96269920da15293bf6728badbef","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.51","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.73","High performance","0.18","137","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
