mean,median,stddev,min,max,ci95_lower,ci95_upper,executable,buildTimeMs,RepetitionCount,CleanBuild,StepCount,CILabel,Reference,IOA,JVM,JS,Native,IoaKinds,CollectionTimestamp,GitCommitHash,GitBranch,DeviceManufacturer,DeviceModel,IsVirtualMachine,OS,OSArchitecture,TimeZone,Username,CPU,CPUCores,CPULogicalProcessors,TotalRAMGB,AvailableRAMGB,DiskSizeGB,SystemDriveFreeSpaceGB,SystemUptimeHours,RunningProcessCount,PythonVersion,JavaVersion,JavaDistribution,NodeVersion,GradleVersion,KotlinVersion
7193347.652,7179246.5,232296.5574701719,6473629.0,8019489.0,7164551.872402499,7222143.4315975,commonmain-ioa-kind-timeclock-node,1772.9213150014402,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
259987.368,261956.5,10718.237646252399,242821.0,302556.0,258658.7214961673,261316.01450383267,commonmain-ioa-kind-timeclock-linux-exe,9434.39770599798,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
129292.548,128387.0,4926.531161459891,121269.0,171538.0,128681.84887018688,129903.24712981311,commonmain-ioa-kind-timemonotonicfunction-jar,875.4639229991881,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
1212026.652,1208753.5,60635.07181705927,1082786.0,1372514.0,1204510.2506252322,1219543.0533747678,commonmain-ioa-kind-timemonotonicfunction-node,1695.2747329996782,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
156298.276,155308.5,5947.155847505771,147170.0,178741.0,155561.05892333822,157035.4930766618,commonmain-ioa-kind-timemonotonicfunction-linux-exe,9161.463274998823,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
138311.884,137897.0,4068.4191189026,130798.0,155906.0,137807.5575410372,138816.21045896277,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-jar,805.6358750000072,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
1372814.016,1364622.5,76674.71383965718,1156298.0,1563726.0,1363309.3200007419,1382318.7119992583,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-node,1508.7288790018647,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
169376.604,167927.0,6436.329873471726,159269.0,184550.0,168578.7482828437,170174.45971715628,commonmain-ioa-kind-timemonotonicfunctioninwholemilliseconds-linux-exe,8693.756476001,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
133487.972,133094.0,3201.236726882623,125823.0,143589.0,133091.1425840558,133884.8014159442,commonmain-ioa-kind-timemonotonicfunctioninwholemicroseconds-jar,794.8595689995273,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
1453622.744,1452454.0,83031.92768231404,1176400.0,1675648.0,1443329.9996083723,1463915.4883916276,commonmain-ioa-kind-timemonotonicfunctioninwholemicroseconds-node,1594.2403400003968,250,True,500,local,True,True,True,True,True,"['None', 'TryFinally', 'TimeClock', 'TimeMonotonicFunction', 'TimeMonotonicFunctionInWholeMilliseconds', 'TimeMonotonicFunctionInWholeMicroseconds', 'TimeMonotonicFunctionInWholeNanoseconds', 'TimeMonotonicGlobal', 'TimeMonotonicGlobalInWholeMilliseconds', 'TimeMonotonicGlobalInWholeMicroseconds', 'TimeMonotonicGlobalInWholeNanoseconds', 'TimeMonotonicGlobalReducedObjects', 'IncrementIntCounter', 'IncrementAtomicIntCounter', 'RandomValue', 'StandardOut', 'AppendToStringBuilder', 'FileEagerFlush', 'FileLazyFlush', 'AddToList', 'AddDuplicatesToSet', 'AddUniqueToSet', 'PocTryFinallyIncrementInt']",2026-07-03 10:39:36,fe09cc8cc0451dca8e066defbb9c3928c0f368fd,BSC_IOA,Dell Inc.,Precision 5690,False,Ubuntu 24.04.3 LTS,x86_64,Europe/Vienna,local_lianhoerschlaeger,Intel(R) Core(TM) Ultra 7 165H,16,22,62.25,57.22,935,776,24.83,479,3.12.3,21.0.11,OpenJDK,v22.14.0,Gradle 9.0.0,Kotlin:        2.2.0
