"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","CILabel","JS","Reference","TestKIR","Common","Methods","Dedicated","Native","JVM","FlushEarly","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"144721","143379","5822.80269145997","133809","160384","143107.0014386921","146334.9985613079","commonmain-plain-jar","1992.3719","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6166.6578","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144101.42","143731.5","2765.001414104521","138928","151932","143335.00071003777","144867.83928996226","commonmain-plain-linux-exe","16519.2101","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143635.9","141997.5","4987.0060514443785","134916","153937","142253.57244765648","145018.2275523435","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2590.8329","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4140.3079","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145194.22","144172.5","5021.760453531516","138985","160387","143802.25901888686","146586.18098111314","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37085.6554","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144492.66","144535","4825.496589059037","136046","156363","143155.10058659926","145830.21941340074","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2590.8329","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4140.3079","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144245.72","143780","3732.266833429567","137541","158894","143211.18841465065","145280.25158534935","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","37085.6554","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144554.78","144068.5","5417.510341250029","133802","156974","143053.1227466171","146056.4372533829","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2539.1184","50","False","500","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","True","System.String[]","False","True","True","System.Boolean[]","System.Boolean[]","2026-06-02 04:14:11","f55809c7168ae64e8ab6b2d5cd83aaa16b4e729e","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.05","145","86","0.09","158","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
