"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Dedicated","InstrumentPropertyAccessors","JVM","CILabel","Methods","Native","Common","Reference","Enabled","JS","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2779.2097","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205156.8","206319","9321.146876969637","185785","221891","202573.1099032647","207740.49009673527","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20242.3713","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"162505.04","160495.5","4527.551462243726","156600","170692","161250.06676227954","163760.01323772047","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2246.408","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2779.2097","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205047.96","203175","13039.245955974913","183596","255486","201433.66541908457","208662.2545809154","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20242.3713","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"163728.8","162567.5","5413.230666145491","156570","175358","162228.32901203388","165229.2709879661","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1845.3709","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2512.4859","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203565.54","201111.5","9854.101373850506","187439","237809","200834.12245365186","206296.95754634816","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","14650.2212","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"164814.9","165236","8431.015617156376","137205","184137","162477.94170044907","167151.85829955092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1845.3709","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2512.4859","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221579","218768.5","22503.50086777883","187935","266427","215341.34779889486","227816.65220110514","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","14650.2212","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"161750.8","160000.5","5712.881702515709","152501","179876","160167.26998234953","163334.33001765044","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1916.6415","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3157.6556","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205720.62","204925.5","11792.83583434953","186898","229605","202451.8126783478","208989.42732165218","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","15445.7307","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"162332.04","160192","5429.50034894406","154206","174610","160827.05928604433","163837.0207139557","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1916.6415","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3157.6556","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205570.72","205761","11615.054409705026","185164","230549","202351.19117511436","208790.24882488564","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","15445.7307","50","False","500","System.Boolean[]","False","System.Boolean[]","True","ci-windows-large","System.String[]","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-06-17 02:54:44","f224c20647f10224ebb9fc3a9e3a46733c44734b","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","11.93","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","25.68","High performance","0.48","134","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
