"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","FlushEarly","Dedicated","Native","InstrumentPropertyAccessors","JVM","Reference","Enabled","TestKIR","Common","JS","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2926.4573","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144778.1","143817","3405.543213884189","139226","156027","143834.13158153676","145722.06841846326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15118.8053","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141890.68","141057","4800.862233101934","132807","159399","140559.94888169703","143221.41111830296","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1614.8849","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2926.4573","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145231.28","144694","4812.885803417186","138633","169970","143897.2161180403","146565.3438819597","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15118.8053","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142574.8","142299.5","3951.3450409516327","131239","150376","141479.5430336802","143670.05696631977","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1458.7634","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3178.8991","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144599.44","144861.5","2640.502473517695","139318","149765","143867.53005573244","145331.34994426757","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14700.8178","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142919.84","142268","4593.295817131036","132971","156286","141646.64335684665","144193.03664315335","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1458.7634","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3178.8991","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145412.4","144540.5","4420.224853455086","141436","162916","144187.17618044702","146637.62381955297","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14700.8178","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143905.36","142730","7334.690104495186","131510","170749","141872.28762857013","145938.43237142984","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1394.3727","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2634.4265","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145226.58","144544.5","4744.775154733847","139258","167696","143911.39542664983","146541.76457335014","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14153.4069","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142866.8","140907.5","5161.490344021635","132215","158282","141436.10786927165","144297.49213072832","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1394.3727","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2634.4265","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144329.18","144174","3215.572318310648","140450","158587","143437.8688272641","145220.4911727359","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14153.4069","50","False","500","ci-linux-large","System.Boolean[]","False","True","System.Boolean[]","True","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","2026-07-20 03:38:32","fc930127d061c681d1fab3fc1886a663c3016dcd","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.78","145","84","0.03","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
