"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","InstrumentPropertyAccessors","TestKIR","Native","JS","FlushEarly","Methods","Common","JVM","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"95176.33333333333","123154","31980.703186974068","60314","123154","15780.842679679423","174571.82398698723","commonmain-plain-jar","1996.5533","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6247.6265","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11840.333333333334","12025","211.8899085216975","11609","12025","11314.294141721995","12366.372524944672","commonmain-plain-linux-exe","17590.7476","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136246.66666666666","207114","61742.98907838309","94063","207114","-17036.85820273275","289530.19153606606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2120.3884","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4080.0015","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"47133.666666666664","47655","624.8722536113548","46441","47655","45582.3549621906","48684.97837114273","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","18883.2686","3","False","20","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","True","True","ci-linux-small","2026-07-30 01:20:04","e6d8178ccca59b303d66039005c52ac35653b80f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","84","0.09","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
