"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Common","Methods","TestKIR","FlushEarly","Dedicated","Native","InstrumentPropertyAccessors","Enabled","JS","Reference","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6447.2763","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220746.72","218778","5251.81612917797","214342","239569","219290.99083899325","222202.44916100675","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36255.3197","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187394.44","185777.5","6250.213750336699","181248","221584","185661.96913752245","189126.91086247755","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4205.7341","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6447.2763","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220595.96","219320.5","6291.825204702575","213595","248434","218851.95503083203","222339.96496916795","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","36255.3197","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187557.62","186578.5","5921.428960503175","179671","217707","185916.2836316638","189198.9563683362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4077.7287","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4664.4708","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228573.74","218788","21593.931746626393","215011","328730","222588.20749635654","234559.27250364344","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27073.9261","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"217796.48","217052","10199.203963015136","200178","255278","214969.40489629854","220623.55510370148","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4077.7287","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4664.4708","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246761.64","243471","17388.64387074718","225918","311255","241941.75382531586","251581.52617468417","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","27073.9261","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195350.1","193788","9788.950716632151","183473","241280","192636.74129448686","198063.45870551316","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3393.2688","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3713.4027","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"269925.04","258677.5","35633.67036543743","229212","339388","260047.89049804496","279802.189501955","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31607.2568","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222027.42","220198.5","9374.215041075522","208070","263789","219429.0201586526","224625.81984134743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3393.2688","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3713.4027","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229434.54","220857","17525.222903132784","214215","282966","224576.7960490085","234292.28395099152","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","31607.2568","50","False","500","True","True","System.String[]","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","2026-09-16 02:35:47","f6f4f03232b2e026846a2054bef02e01d44d56b1","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.58","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.59","High performance","0.07","144","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
