"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","CILabel","Enabled","TestKIR","Dedicated","JVM","JS","InstrumentPropertyAccessors","FlushEarly","Common","Methods","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4585.2424","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184970.78","182474.5","7859.47356675564","177211","212451","182792.24507420114","187149.31492579886","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18535.59","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143284.16","142043","4885.249281797821","136878","157639","141930.0379851812","144638.2820148188","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2372.4816","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4585.2424","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179560.8","176673.5","8884.29433762474","174054","231367","177098.19924930084","182023.40075069913","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","18535.59","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137125.22","135829.5","2890.280872517551","133196","148459","136324.07501583957","137926.36498416043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2703.5881","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3252.8834","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"176794.26","175854.5","3636.670841383838","173364","193440","175786.22627174875","177802.29372825127","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21330.4654","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137865.54","136945.5","3744.549236979434","133194","157112","136827.6039060816","138903.4760939184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2703.5881","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3252.8834","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184452.18","178284.5","13735.163784659744","172467","233194","180644.9868384864","188259.3731615136","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","21330.4654","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"142883.18","140761.5","6661.81384777817","136309","172860","141036.61941126757","144729.7405887324","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1663.8927","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3036.0127","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179081.58","177976.5","4738.324775397193","173029","198527","177768.18338058214","180394.97661941784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19180.2575","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"139028.06","138855","1978.0019129806476","134099","147559","138479.78584217952","139576.33415782047","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1663.8927","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3036.0127","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182717.5","177944.5","14734.140531224668","174608","261595","178633.40461164288","186801.59538835712","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19180.2575","50","False","500","True","ci-windows-large","System.Boolean[]","System.Boolean[]","False","True","True","System.Boolean[]","System.Boolean[]","True","System.String[]","True","2026-06-12 02:47:12","5fa53228dec14b979f81898f334c65e4df13c6d9","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.36","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.03","High performance","0.12","136","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
