"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","InstrumentPropertyAccessors","Reference","TestKIR","Native","JS","FlushEarly","JVM","Common","Enabled","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4863.172","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259165.5","259867.5","16226.47007050454","232040","318752","254667.75196754286","263663.24803245714","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28534.3698","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202292.12","195565","14311.327416919989","186032","246172","198325.22242760024","206259.01757239975","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4313.5521","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4863.172","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237113.74","226966.5","30490.358566984178","218758","411676","228662.24379301863","245565.23620698135","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","28534.3698","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224240.3","222386.5","8920.781722518286","210998","265405","221767.58546220473","226713.01453779524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5649.7508","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5142.7128","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"260864.48","251712","41729.441358487275","218228","356798","249297.66898379262","272431.2910162074","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20877.9723","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222789.2","226919.5","18875.920319771623","188230","255832","217557.06182637502","228021.338173625","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","5649.7508","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5142.7128","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"243439","240599.5","17888.922844336164","219590","290257","238480.4435686696","248397.5564313304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20877.9723","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233601.68","229319","25375.911096493517","195840","290295","226567.83630447392","240635.52369552606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4788.4355","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5020.0696","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268792.68","268192.5","11757.52576783162","237963","294803","265533.66012943955","272051.69987056043","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25030.715","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236833.6","238706","24731.70569639428","191159","285570","229978.32093117372","243688.8790688263","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","4788.4355","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5020.0696","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244563.4","241313","19549.12230714187","218688","300565","239144.6597557469","249982.1402442531","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25030.715","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-windows-large","2026-08-28 08:11:57","e77ecd9f144650deae8608ea4f865d2681bfa134","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.64","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","0.17","136","True","False","7.6.5","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
