"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","CILabel","JVM","InstrumentPropertyAccessors","Native","Dedicated","FlushEarly","Common","Reference","JS","TestKIR","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3569.0733","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177015.74","176014","3965.2747739672745","172347","191200","175916.62190867943","178114.85809132055","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","16975.8934","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"137750.2","137702","1266.2956259282025","135407","140459","137399.20076016037","138101.19923983965","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1880.8893","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3569.0733","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"346981.52","221065","320854.1053462149","176090","1752258","258045.29944455426","435917.7405554458","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","16975.8934","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"157706.84","157767.5","4270.63949883148","144533","177763","156523.07912534627","158890.60087465373","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3556.1313","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5543.6411","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"199621.86","199869","9336.55605126255","178901","227160","197033.89869806377","202209.8213019362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19754.6688","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"157357.46","157374.5","3432.658404627111","139055","164159","156405.97563411974","158308.94436588025","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3556.1313","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","5543.6411","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201907","203760.5","12652.798769200337","178013","231376","198399.82311420937","205414.17688579063","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19754.6688","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"160476.9","157873.5","18421.0624261513","150126","286007","155370.8420019886","165582.95799801138","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3515.6535","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3817.9843","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198320.82","197332","14394.94638036104","172709","231425","194330.74443345497","202310.89556654505","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21428.1876","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"160545.94","160214.5","5366.652631362895","145296","185708","159058.37978457953","162033.50021542047","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3515.6535","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3817.9843","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"201426.52","200362.5","11308.305248870522","182743","228865","198292.0177045201","204561.02229547987","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","21428.1876","50","False","500","System.String[]","ci-windows-large","True","System.Boolean[]","True","False","System.Boolean[]","True","True","True","System.Boolean[]","System.Boolean[]","2026-06-09 02:18:02","94d0c7de175712780dd47cebf5e4fe583f1b2c89","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","27.31","High performance","0.49","132","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
