"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Methods","TestKIR","Common","InstrumentPropertyAccessors","JS","Reference","CILabel","Dedicated","FlushEarly","JVM","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5925.6889","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"252302.94","248299","19918.71265962574","228473","348702","246781.75453670195","257824.12546329806","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23079.8057","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"250352.66","245539","21185.46076296628","199649","283459","244480.34987652244","256224.97012347757","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2655.6257","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5925.6889","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"281970.08","281768","19152.242900399902","251370","349740","276661.3491147166","287278.81088528346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","23079.8057","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210061.44","213291.5","13915.480158706234","183632","258512","206204.2656895943","213918.6143104057","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2560.4942","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3650.1516","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"238154.28","236031","13940.797150281835","218862","275839","234290.08817755672","242018.47182244327","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19246.0555","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187303.74","187003.5","3396.4626244950546","181825","202135","186362.28859249977","188245.1914075002","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2560.4942","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3650.1516","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225100.36","219804.5","17198.93786559187","217190","329859","220333.0576471653","229867.66235283468","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19246.0555","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"322847.06","229866.5","346314.49597294704","188158","2385033","226853.57921793652","418840.5407820635","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2321.2484","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4254.6286","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"244776.78","242449.5","10152.677138226214","228893","272809","241962.60147415815","247590.95852584185","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18792.7817","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"216443.4","215716","6769.87271155169","206536","254628","214566.88702237367","218319.9129776263","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2321.2484","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4254.6286","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247803.28","247126","11865.103830122678","228375","280451","244514.4410119172","251092.1189880828","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18792.7817","50","False","500","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","ci-windows-large","False","System.Boolean[]","True","System.Boolean[]","2026-04-18 01:32:26","52a346fa8b8031780b1c7cc989250bb74539099f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.19","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.69","High performance","0.27","137","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
