"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","FlushEarly","Methods","InstrumentPropertyAccessors","Enabled","Dedicated","JS","Native","Common","JVM","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5232.9647","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220249.06","218074","7628.801578684478","215516","265661","218134.46408718315","222363.65591281684","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22559.3039","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184538.08","184449","1956.6857635151475","180600","188196","183995.71437736315","185080.44562263682","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3336.3513","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5232.9647","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234858.26","221864.5","24090.212437800696","216456","294421","228180.7937906026","241535.72620939743","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","22559.3039","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188038.64","184279.5","12363.431652866531","180588","243269","184611.6715866925","191465.60841330752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2705.8487","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4215.8511","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"218959.38","217580.5","4782.736305394515","214215","241470","217633.67313252477","220285.08686747524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19747.4567","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"184367","183820","2216.0700644637222","180055","191852","183752.7367172946","184981.2632827054","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2705.8487","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4215.8511","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222672.04","217293","28951.553454468358","215057","421483","214647.07880877255","230697.00119122746","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19747.4567","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183479.1","183230.5","2206.879533529233","179033","190961","182867.38420249923","184090.81579750078","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2649.1697","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3926.1639","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221553.72","218896.5","7302.440660044379","215951","257278","219529.58671850755","223577.85328149245","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18658.4141","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185066.94","184749","3575.4939513760237","180307","203825","184075.86364050908","186058.01635949092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2649.1697","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3926.1639","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221292.34","219399.5","7205.226591092025","215759","260719","219295.15308364166","223289.52691635833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18658.4141","50","False","500","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","False","True","True","True","True","ci-windows-large","True","2026-06-28 02:43:36","654e672c12198cba8278ce4cf37c566a44b9b626","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.73","High performance","1.11","134","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
