"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","JS","Dedicated","Reference","FlushEarly","Native","InstrumentPropertyAccessors","Methods","Enabled","JVM","CILabel","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4127.2725","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189015.16","179577.5","19122.096163552866","174051","252718","183714.7853638422","194315.5346361578","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24123.6729","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"145247.24","140486.5","14077.156166539564","135571","203769","141345.25138660858","149149.2286133914","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2431.9719","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4127.2725","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"178929.48","177499.5","3473.5053237739135","174162","188311","177966.67344578018","179892.28655421984","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24123.6729","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"140425.44","139403.5","3481.719849237073","135905","153755","139460.35649548977","141390.52350451023","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3221.9082","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3860.6113","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179516.26","178949.5","3845.52744085481","173734","188999","178450.33417597838","180582.18582402164","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19970.9596","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"139425.5","138811","2477.3567978960223","135616","144950","138738.81172984533","140112.18827015467","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3221.9082","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3860.6113","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180528.96","177869.5","6510.799010372643","174296","206884","178724.25858857855","182333.66141142143","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19970.9596","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"143963.44","141782.5","7744.409697165499","135778","169281","141816.7991516442","146110.0808483558","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3058.5822","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3469.6487","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"183499.68","180897.5","6166.51323249457","177267","201298","181790.4097373944","185208.9502626056","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16361.4459","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"144188.34","142838.5","5691.303102496809","137204","171021","142610.79126511508","145765.8887348849","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3058.5822","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3469.6487","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180950.24","179324","4077.5767641768675","176471","191997","179819.9933851428","182080.4866148572","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16361.4459","50","False","500","True","True","False","True","System.Boolean[]","True","System.Boolean[]","System.String[]","System.Boolean[]","True","ci-windows-large","System.Boolean[]","2026-08-05 01:49:49","6e4199ab1cc5392dbfb6ff0eac206b8815bb6b48","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.34","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.95","High performance","0.08","146","True","False","7.6.4","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
