"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","CILabel","InstrumentPropertyAccessors","Common","FlushEarly","Methods","Native","TestKIR","Dedicated","Enabled","Reference","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4321.6479","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225244.32","224867.5","3179.234123149146","220022","236072","224363.0812610763","226125.55873892372","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21356.802","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179524.26","179263","3122.405684332358","174910","189563","178658.77330066133","180389.7466993387","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2277.9409","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4321.6479","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226511.26","225152","4978.555084252736","220921","245255","225131.27493625035","227891.24506374967","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21356.802","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179375.14","179174.5","2432.826742616876","174211","186347","178700.79483143473","180049.4851685653","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3603.0687","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4227.7638","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226970.42","225112.5","4182.331300329314","221932","239737","225811.13690913643","228129.7030908636","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22265.0347","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"181386.44","179968.5","6034.235724765881","173500","208732","179713.83519189805","183059.04480810196","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3603.0687","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4227.7638","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226029.72","224798.5","4473.367046903991","221970","247607","224789.7659159479","227269.6740840521","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","22265.0347","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179982","179923.5","3015.818777373598","175360","194919","179146.05768394226","180817.94231605774","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3449.1073","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4113.7583","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225873.3","224073.5","6410.692061242814","220556","261003","224096.3468191874","227650.25318081258","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22373.9018","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179647.98","179177","3476.026340815158","175094","192983","178684.474655508","180611.48534449202","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3449.1073","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4113.7583","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225365.28","224710.5","4402.3341352477255","221110","250990","224145.0152345276","226585.5447654724","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","22373.9018","50","False","500","True","ci-windows-large","System.Boolean[]","True","System.Boolean[]","System.String[]","True","System.Boolean[]","False","System.Boolean[]","True","True","2026-05-26 02:31:59","b3a770d8bde5e6e79e57da50a930757a742a2492","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.06","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.09","High performance","3.9","130","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
