"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Methods","Enabled","JVM","CILabel","InstrumentPropertyAccessors","Dedicated","TestKIR","FlushEarly","Native","Reference","Common","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3932.5838","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121200.48","121566","2727.4267774080477","116298","127913","120444.47586795795","121956.48413204204","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16604.5384","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142445.98","142271","6008.110890203308","130853","161117","140780.6166265873","144111.34337341273","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2825.6307","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3932.5838","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122822.46","121927.5","3909.822613075213","116089","136840","121738.71246348675","123906.20753651326","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16604.5384","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142498.66","141043.5","5879.868878206211","129392","158142","140868.8434987432","144128.4765012568","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2005.6217","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3059.6936","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121250.2","120611.5","3394.2049773947697","116223","130902","120309.37438034883","122191.02561965116","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15117.5389","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142558.14","141677.5","5804.518788646919","131854","156650","140949.20947798504","144167.07052201498","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2005.6217","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3059.6936","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"122561.1","121838.5","4157.869770761495","116178","133613","121408.59729920317","123713.60270079684","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15117.5389","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142534.34","142213.5","6980.547448299394","130527","171301","140599.4309646619","144469.24903533809","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1666.5207","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2919.0007","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121572.2","121475","2416.388188505941","116832","127214","120902.41136616391","122241.98863383608","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13404.2852","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142733.58","142797","4796.383391298753","129156","152156","141404.0903533061","144063.06964669388","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1666.5207","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2919.0007","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"121717.9","121440","3014.777950668462","116963","131916","120882.24618638578","122553.55381361421","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13404.2852","50","False","500","System.String[]","System.Boolean[]","True","ci-linux-large","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","True","True","True","True","2026-04-29 03:29:15","4c8b07747cde4d443636f39e29dcc3e18b2dfa47","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.9","72","16","0.09","163","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
