"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","FlushEarly","Dedicated","Common","Enabled","JVM","CILabel","Native","InstrumentPropertyAccessors","Reference","JS","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8689.5256","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223446.6","223182","2688.325136737803","219768","230887","222701.43428978516","224191.76571021485","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","34547.4149","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179109.68","178497","3512.4195360963104","175409","193870","178136.08697644045","180083.27302355954","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4534.8598","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","8689.5256","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223410","223285.5","1994.8366922060134","219743","227701","222857.0594794519","223962.9405205481","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","34547.4149","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179784.12","178490","5046.160171368131","174565","208122","178385.39576215786","181182.84423784213","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3240.3104","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4155.1427","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224196.88","223426","3384.5812187215197","219134","241326","223258.72195015603","225135.03804984398","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23632.0424","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"179319.34","178976.5","3262.0968066442124","172939","188820","178415.13289703688","180223.54710296312","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3240.3104","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4155.1427","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247367.56","235161.5","30580.053644565276","224811","332869","238891.20158596075","255843.91841403925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23632.0424","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191910.3","191825","4177.906395186323","185381","209928","190752.243430266","193068.35656973397","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2867.5634","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4054.878","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228820.48","226856","5962.884267307737","222203","247443","227167.6528068692","230473.3071931308","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18970.3891","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185848.34","184101.5","7055.158025132524","175945","208454","183892.74996788974","187803.93003211025","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2867.5634","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4054.878","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230259.04","227673.5","7099.90382217123","221509","250547","228291.04706573562","232227.0329342644","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18970.3891","50","False","500","System.Boolean[]","System.Boolean[]","False","True","System.Boolean[]","True","ci-windows-large","True","System.Boolean[]","True","True","System.String[]","2026-06-05 02:40:33","bed2a126ff583749160be3e06e49ec2a3727de99","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","15.99","12.31","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.04","High performance","0.07","142","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
