"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","InstrumentPropertyAccessors","Enabled","Methods","FlushEarly","Dedicated","Native","JS","CILabel","Common","TestKIR","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3219.0573","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124804.32","123812","3366.7888924805807","119985","134294","123871.09373137496","125737.54626862505","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14172.0841","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144857.3","143862","5434.059565108101","134327","158499","143351.05553579904","146363.54446420094","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1661.564","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3219.0573","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124121.06","124058.5","2377.91920195376","119274","129794","123461.93442521643","124780.18557478357","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14172.0841","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144248.42","143819","5246.212200497904","133829","156594","142794.24416877388","145702.59583122615","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.7718","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2800.4304","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"124032.8","124195","2601.2510883207324","117317","131121","123311.76998462477","124753.83001537524","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13902.7229","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143427.64","143047.5","5335.285099434228","132169","156460","141948.7744208376","144906.50557916242","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.7718","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2800.4304","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123904.98","123043.5","2792.1431567444934","119519","130846","123131.03740281035","124678.92259718964","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13902.7229","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146055.7","146463.5","4373.776970742326","133107","155334","144843.3508766795","147268.04912332052","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1352.4393","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2387.2123","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"125064.34","124660.5","2586.914737990538","120549","133816","124347.28381819486","125781.39618180513","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13687.9379","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143238.62","142946","4027.4704112975865","135149","152239","142122.26215756818","144354.9778424318","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1352.4393","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2387.2123","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"123933.4","123310.5","3819.9776898589885","117515","135495","122874.5562056356","124992.24379436439","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13687.9379","50","False","500","True","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","False","True","True","ci-linux-large","True","System.Boolean[]","True","2026-06-04 04:18:45","55560d27c2854fd833b49213d3d8770abf4c26a7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.02","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
