"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Common","Native","InstrumentPropertyAccessors","JVM","FlushEarly","Enabled","Methods","Dedicated","TestKIR","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"66030.33333333333","77004","9506.696394296672","60296","77004","42428.95032722305","89631.7163394436","commonmain-plain-jar","2667.9275","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8072.2902","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"12000","12139","158.75452749449383","11827","12139","11605.875032508724","12394.124967491276","commonmain-plain-win-exe","99738.3921","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"130069.33333333333","144677","12651.65405523457","122603","144677","98660.25907305343","161478.40759361323","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3402.2662","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5498.2439","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"89658","101603","10367.759690502091","82994","101603","63918.93595271965","115397.06404728035","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","47216.1356","3","False","20","True","True","True","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","System.String[]","False","System.Boolean[]","ci-windows-small","True","2026-08-20 01:07:46","2492c5278db3e747bd2c418394691ba19dbdc7a7","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.28","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.13","High performance","0.09","143","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
