"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","FlushEarly","Enabled","CILabel","Common","JS","JVM","InstrumentPropertyAccessors","Native","Dedicated","TestKIR","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3040.3767","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146386.54","145632","4001.2812091496244","141067","158120","145277.4414340418","147495.63856595822","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14573.647","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142894.3","142215","4932.10599655203","134161","157692","141527.18996648843","144261.41003351155","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1800.2289","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3040.3767","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146259.92","145418.5","4671.712004682424","138004","169446","144964.9874986015","147554.85250139853","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14573.647","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141424.06","140795","4415.765833271248","133012","152301","140200.07215778352","142648.04784221647","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1512.4467","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2940.1397","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145871.2","145747","3132.8792781447182","140776","154991","145002.81016857174","146739.58983142828","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14374.9931","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142411","142165.5","4465.965352598724","133793","156700","141173.09756093624","143648.90243906376","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1512.4467","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2940.1397","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145573.04","144932","3608.094408919128","140360","162407","144572.92725470648","146573.15274529354","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14374.9931","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142247.14","141145","4133.143879293192","134945","152489","141101.4909666502","143392.78903334984","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1387.3293","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2411.3524","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146238.2","145218","5615.5927740606","139426","174629","144681.6370974792","147794.76290252083","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14238.5322","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142537.04","141738","4431.81589428265","133994","151837","141308.60330784752","143765.4766921525","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1387.3293","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2411.3524","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145088.9","145273.5","2661.460365196184","139954","151031","144351.18082454093","145826.61917545905","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14238.5322","50","False","500","True","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","True","False","System.Boolean[]","System.String[]","2026-08-27 08:10:37","c2714b0f8dc7aa777953bbbac8d3d88f9261dba5","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.88","145","83","0.04","162","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
