"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Methods","FlushEarly","TestKIR","CILabel","JVM","JS","Common","InstrumentPropertyAccessors","Dedicated","Native","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"176523.5","162752.5","31281.999311888292","150842","300519","167852.57217373644","185194.42782626356","commonmain-plain-jar","1934.5923","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6414.7925","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138376.36","138326.5","3268.712195769996","132842","149112","137470.31920472454","139282.40079527543","commonmain-plain-linux-exe","16331.0044","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157548.28","157812.5","6332.29355888673","142737","174478","155793.05777534653","159303.50222465346","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2601.2272","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3541.5562","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138713.56","138073.5","4821.204317155114","133565","166691","137377.19034367066","140049.92965632933","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20322.0847","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"159448.1","160172.5","5885.8474924246575","148177","172868","157816.62631143007","161079.57368856994","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2601.2272","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3541.5562","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138549.4","138685","2968.069096780819","130695","144284","137726.69322013733","139372.10677986266","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","20322.0847","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157996.38","157076","6210.657354179218","142519","171321","156274.87361113966","159717.88638886035","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3294.0618","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3614.8601","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137865.48","137623","2442.2468012810145","132736","142750","137188.52372438935","138542.43627561067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19798.6389","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"155299.3","154642.5","4684.852347770222","145871","167313","154000.7251813253","156597.87481867467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3294.0618","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3614.8601","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136970.46","136817.5","3428.568673867941","131286","148646","136020.10924965012","137920.81075034986","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","19798.6389","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"158523.88","158247","5401.721198254633","147817","171868","157026.59927376892","160021.1607262311","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2154.3359","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3763.4049","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139645.98","138650","4727.233455463034","132701","157026","138335.65773761694","140956.30226238308","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21228.4287","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157093.82","155804.5","5290.374782024966","146091","172076","155627.40292571185","158560.23707428816","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2154.3359","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3763.4049","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"139860.52","138142","8080.884843043527","131041","188284","137620.61299956255","142100.42700043743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","21228.4287","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"157490.4","158200.5","5624.13394330584","146898","171740","155931.4696061517","159049.3303938483","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2155.4252","50","False","500","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","ci-linux-large","True","True","True","System.Boolean[]","False","True","True","2026-05-04 03:30:43","7f9dd5f7839c1d261fec1363f3a23afb155b24fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.92","145","86","0.03","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
