"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Methods","TestKIR","JVM","FlushEarly","Common","Reference","Enabled","Native","InstrumentPropertyAccessors","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"205400.4","186645","40134.60289921343","180974","320853","194275.65565085688","216525.1443491431","commonmain-plain-jar","2628.991","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7646.5917","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223750.24","219630.5","10094.550767940624","215288","261538","220952.17328199127","226548.3067180087","commonmain-plain-win-exe","92493.4144","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192233.96","185911","13214.620508438404","180720","224932","188571.05407324914","195896.86592675085","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3562.0779","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4625.7629","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224959.48","222661.5","9630.49283762312","217690","278501","222290.0435776725","227628.91642232751","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28374.9722","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"191172.5","189887","4099.614029866416","186135","206724","190036.1449667397","192308.8550332603","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3562.0779","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4625.7629","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223353.12","221222","10012.418031746825","218247","285874","220577.81931496153","226128.42068503847","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","28374.9722","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"195952.38","192771.5","8053.002499739852","187021","224150","193720.20159082054","198184.55840917947","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3064.9297","50","False","500","False","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","True","System.Boolean[]","True","ci-windows-large","2026-07-12 01:57:35","d352a42e5c99a02fe21d94f9438304815f3d88db","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.39","High performance","0.12","135","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
