"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Reference","CILabel","Common","TestKIR","JVM","FlushEarly","Dedicated","JS","Methods","Enabled","Native","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4686.0822","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223386.08","220123","7309.6226509712415","216424","246821","221359.9559721887","225412.20402781127","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20987.0162","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186096.46","185158.5","3751.994235505341","179233","198027","185056.4602577757","187136.45974222428","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3725.5501","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4686.0822","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222633.88","220296","7820.717790638935","214605","255130","220466.08762726522","224801.67237273479","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","20987.0162","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186645.6","185488.5","5010.02811919275","180663","211197","185256.89105604956","188034.30894395045","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2436.8153","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3770.618","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220614.08","218591.5","5977.18953764891","215277","247722","218957.28758823252","222270.87241176746","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23855.3758","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186018.28","184665","4341.311003155896","179689","204218","184814.92998376806","187221.63001623194","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2436.8153","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3770.618","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"220096.26","218266","5251.626460634916","215238","240792","218640.58341243112","221551.9365875689","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23855.3758","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186109.92","185322","4329.199369068471","179776","199853","184909.9271574571","187309.91284254292","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2994.0295","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3512.8863","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223379.88","219777","13531.018606000003","215446","306229","219629.27299503575","227130.48700496426","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17934.0714","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185324.5","184877","3266.72426108467","180342","193042","184419.0102321064","186229.9897678936","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2994.0295","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3512.8863","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222564.48","220306","6642.186458431548","214372","244708","220723.35984602835","224405.60015397167","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17934.0714","50","False","500","True","ci-windows-large","True","System.Boolean[]","True","System.Boolean[]","False","True","System.String[]","System.Boolean[]","True","System.Boolean[]","2026-09-24 02:26:34","990fef1c9e63c16be12fb4071a79ab3e99d5cc3d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.67","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.56","High performance","1.21","134","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
