"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Dedicated","Methods","CILabel","TestKIR","Reference","JVM","JS","Native","InstrumentPropertyAccessors","Common","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2490.1113","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119955.2","119141.5","3003.404659885245","114322","130375","119122.69870175236","120787.70129824763","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13052.146","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142771.26","141880","4987.6704300480305","131947","156221","141388.74829130305","144153.77170869696","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1589.6133","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2490.1113","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120615","119912","3117.564447069644","115316","133442","119750.85522316686","121479.14477683314","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","13052.146","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143608.42","143247.5","5275.886323023781","133653","153212","142146.01892165447","145070.82107834556","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1362.5459","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2607.8328","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120703.62","120050","3600.7728982675317","112941","137067","119705.53667391994","121701.70332608005","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12659.5255","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142477.4","142630.5","5548.092722471647","130692","154691","140939.5471572091","144015.25284279088","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1362.5459","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2607.8328","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120895.9","120465","4166.313567759627","114890","133243","119741.05679808556","122050.74320191443","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","12659.5255","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143195.1","142035","5092.579692903336","133857","155250","141783.50892724274","144606.69107275727","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1193.4561","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2208.3815","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"119935.02","119337","2532.2313020217516","115823","128994","119233.12129332457","120636.91870667544","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12597.1803","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142654.12","142496.5","4820.116929058456","134112","152726","141318.05175227346","143990.18824772653","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1193.4561","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2208.3815","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120103.26","120034.5","2613.82719484089","113036","125799","119378.74406574585","120827.77593425414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12597.1803","50","False","500","System.Boolean[]","False","System.String[]","ci-linux-large","System.Boolean[]","True","True","True","True","System.Boolean[]","True","System.Boolean[]","2026-05-27 04:04:50","9e1f4b48fb65860b10b8307a0dfb069bcc9febe2","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","14.01","145","86","0.03","162","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
