"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Methods","Native","FlushEarly","JVM","JS","Dedicated","Common","Reference","TestKIR","CILabel","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4164.7082","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136082.8","135707","4623.094824368418","130511","163852","134801.34349345128","137364.2565065487","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17534.1722","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154764.1","153289.5","6605.545382943217","145529","175573","152933.13623398388","156595.06376601613","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2322.5665","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4164.7082","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135249.42","134896","2578.974563579842","131002","143203","134534.56472225336","135964.27527774667","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","17534.1722","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154504.28","154535.5","5302.783743488328","144963","167682","153034.42333707894","155974.13666292105","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1905.7264","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3187.2146","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135038.16","134238.5","3664.3479769703276","128428","146880","134022.45456116798","136053.86543883203","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15054.4335","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152916.56","152294","4909.395769629613","144563","166930","151555.7449202284","154277.3750797716","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1905.7264","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3187.2146","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135320.9","135146","3698.5226518330874","128976","150041","134295.72182458657","136346.07817541342","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15054.4335","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153841.66","153615.5","4955.076966020171","144587","168097","152468.18273860213","155215.13726139787","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1729.5074","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2968.1566","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136895.36","136170.5","3783.3794889689593","130081","147241","135846.66070935878","137944.0592906412","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14699.2081","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"153766.46","153171.5","4564.8771948969","144298","163193","152501.14059704018","155031.7794029598","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1729.5074","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2968.1566","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136811.3","136627","3590.2157018366306","128889","146881","135816.14297947308","137806.4570205269","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14699.2081","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","False","True","True","System.Boolean[]","ci-linux-large","System.Boolean[]","2026-08-19 01:21:40","d0fe8172e58a1a4402efe39708d78648ea4983e6","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.78","145","83","0.02","158","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
