"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","FlushEarly","JS","JVM","InstrumentPropertyAccessors","Methods","Native","CILabel","Reference","Enabled","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5207.4779","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247426.08","243695.5","18033.12351275071","225175","337562","242427.55318263848","252424.6068173615","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25756.4291","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212435.36","200522","22225.17636096322","189397","294101","206274.8554161816","218595.86458381836","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3801.2652","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5207.4779","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"227923.18","227132.5","4100.849278341435","221503","246807","226786.48257333104","229059.87742666894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","25756.4291","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206584.68","199782.5","14214.938782470632","189983","239779","202644.49999396323","210524.86000603676","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3254.5346","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4807.5925","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"242311.6","228588","24900.14650067549","219774","311465","235409.63152227888","249213.56847772113","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25444.47","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"205735.1","198745","13733.187534106524","190371","237500","201928.45462719208","209541.74537280793","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3254.5346","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4807.5925","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237498.26","225613","22540.8746718453","221047","293348","231250.24830893954","243746.27169106048","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","25444.47","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"208627.6","202902.5","17428.522292670783","190325","257301","203796.6600907103","213458.5399092897","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3747.6195","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4919.8843","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236999.56","238007","5522.234659916551","218210","246897","235468.87464647047","238530.24535352952","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25576.9324","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187808.76","187041.5","3466.4029792702813","182720","200998","186847.92211523684","188769.59788476318","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3747.6195","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","4919.8843","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"219278.42","218195","3726.7070494264635","215678","238239","218245.4295081511","220311.41049184892","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","25576.9324","50","False","500","False","System.Boolean[]","True","True","System.Boolean[]","System.String[]","True","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","2026-05-04 02:06:34","b15899baee6ed291be7b881bb346115c4ddc8981","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.52","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.61","High performance","0.12","138","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
