"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","Methods","CILabel","Dedicated","TestKIR","Reference","InstrumentPropertyAccessors","Enabled","Native","JS","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"119876.74","119422","2758.829216407953","114158","127204","119112.0315559534","120641.4484440466","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16002.307","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141452.4","142123","4858.267025369841","131458","149543","140105.75708508602","142799.04291491397","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2113.8737","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3877.584","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120072.94","119856.5","2791.495900708699","115791","130868","119299.17681303014","120846.70318696987","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16002.307","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141836.04","141085.5","5351.895906525622","132006","159864","140352.57014001816","143319.50985998186","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2665.3246","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4618.9878","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120455.92","120030","2947.461203220459","113783","128747","119638.92543680007","121272.91456319993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13331.7875","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140073.18","140084","5413.189948257716","130587","151414","138572.72029845655","141573.63970154343","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2665.3246","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4618.9878","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120014.36","119626","2766.0460084417123","114886","126864","119247.6511632599","120781.0688367401","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13331.7875","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141543.18","141780.5","4542.699551130003","133014","151997","140284.00792626114","142802.35207373885","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1251.6785","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2333.7016","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120135.58","119929","2776.0366042549335","115172","129372","119366.10191138524","120905.05808861477","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12696.159","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142352.6","142293.5","5622.640479275166","128680","155218","140794.08357326078","143911.11642673923","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1251.6785","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2333.7016","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120370.92","120214.5","2777.6372270147085","116548","131535","119600.99824139186","121140.84175860813","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12696.159","50","False","500","True","System.Boolean[]","System.String[]","ci-linux-large","False","System.Boolean[]","True","System.Boolean[]","System.Boolean[]","True","True","True","2026-06-17 04:22:06","695b09fb3a02bd1c2ca5cf1f1c22f56fe001a801","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.89","145","84","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
