"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","Native","TestKIR","FlushEarly","InstrumentPropertyAccessors","Common","Reference","Methods","Enabled","JVM","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"79109.33333333333","102041","20629.38376038735","62060","102041","27894.69818404768","130323.96848261898","commonmain-plain-jar","2741.7776","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","7882.5426","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"11422.666666666666","11482","97.61830429449864","11310","11482","11180.318863338933","11665.0144699944","commonmain-plain-win-exe","94719.1606","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"110849","120510","8448.706469040098","104844","120510","89874.18929692093","131823.81070307907","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3636.6975","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5368.2017","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"78577","84946","5516.005166785108","75336","84946","64882.93160805258","92271.06839194742","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","105885.2134","3","False","20","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","ci-windows-small","False","2026-06-06 02:58:23","c69265063aaec512f8708cc41617b7d97e8e005d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.68","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.21","High performance","0.68","128","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
