"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Dedicated","Enabled","Methods","FlushEarly","Reference","Common","Native","InstrumentPropertyAccessors","CILabel","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4824.0844","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"189754.22","182730.5","16703.775753403777","173735","245642","185124.16958219273","194384.27041780727","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24670.9866","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"159008.56","161226.5","10507.513694844605","136558","182385","156096.0257986822","161921.09420131778","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4712.0617","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4824.0844","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"180914.66","178263","7662.267005106977","175881","221490","178790.78794423936","183038.53205576065","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24670.9866","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"148107.34","141532.5","10147.912507988818","137591","169463","145294.48216227963","150920.19783772036","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3477.0032","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3517.647","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200403.04","198508","11287.945838976791","178542","231559","197274.18104502448","203531.89895497554","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20975.7599","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"138146.84","137406","4765.645650242312","133605","167647","136825.87042044074","139467.80957955925","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3477.0032","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3517.647","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"177042.86","176376","2685.8420563072154","173614","187807","176298.38256456534","177787.33743543463","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20975.7599","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"162788.42","163104","5855.691182786475","141691","173675","161165.30521399804","164411.53478600198","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2034.8305","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3188.2166","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182091.68","178598","8937.862825950631","175553","217062","179614.2308218904","184569.12917810958","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19994.8872","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"157822.92","159259.5","7660.441154877892","140082","182369","155699.55404410211","159946.2859558979","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2034.8305","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3188.2166","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"203024.76","200721","13582.199099932384","183574","249751","199259.96648590072","206789.5535140993","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19994.8872","50","False","500","System.Boolean[]","True","False","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","System.Boolean[]","ci-windows-large","True","2026-04-26 02:00:37","ea3e128a0a297145c1072a70885ba7ed085da75f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 9V74 80-Core Processor","2","4","2596","15.99","12.72","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.58","High performance","0.2","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
