"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","JS","FlushEarly","Dedicated","Enabled","TestKIR","InstrumentPropertyAccessors","Common","Methods","Native","CILabel","Reference","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3397.4433","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142071.3","141890","2600.9926225287486","137837","147660","141350.34162768713","142792.25837231285","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16054.6814","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143536.5","143069.5","3662.615599624433","136354","151916","142521.27475166938","144551.72524833062","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2230.9677","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3397.4433","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143838.72","142954.5","5256.391316778275","137275","168602","142381.72266169172","145295.71733830828","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","16054.6814","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144035.74","143502.5","3966.9592056364377","137576","156383","142936.1550080416","145135.3249919584","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2440.6245","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3320.2873","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142661.3","142385.5","2580.0101190277746","137111","149104","141946.15768092778","143376.4423190722","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14682.7586","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143587.68","142739.5","4010.735646502079","136709","153171","142475.9607977102","144699.3992022898","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2440.6245","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3320.2873","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144080.32","142511.5","10219.971850753996","137635","213116","141247.4883315121","146913.1516684879","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14682.7586","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143737.38","143692","3963.2166274790648","136202","152825","142638.83239778012","144835.9276022199","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.9149","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2621.5079","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142931.94","142357","3711.5431380645823","137570","157821","141903.152729936","143960.727270064","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13981.3132","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144548.56","144836","3990.216265224895","136631","154047","143442.52848001977","145654.59151998023","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1481.9149","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2621.5079","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142099.66","141775.5","2688.8907781341163","136724","148290","141354.33750198927","142844.98249801074","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13981.3132","50","False","500","True","True","System.Boolean[]","False","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","System.String[]","True","ci-linux-large","True","2026-05-21 04:00:13","a84f8fde9ddd6bfe4ea06b178641b9634d8d97fc","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.02","145","86","0.1","151","7.4.15","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
