"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","Native","TestKIR","JS","CILabel","Reference","Common","FlushEarly","InstrumentPropertyAccessors","Methods","Dedicated","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"242734","289189","40751.24389512546","213017","289189","141564.71097955006","343903.28902044997","commonmain-plain-jar","2749.2228","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8099.2378","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"18662.333333333332","19035","376.5585390524737","18282","19035","17727.48678561666","19597.179881050004","commonmain-plain-win-exe","108717.2847","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"202242.33333333334","369569","145021.04829759483","112883","369569","-157787.81413961246","562272.4808062791","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3430.6835","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","5522.2798","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"81322","89999","8133.597174682307","73871","89999","61129.48157138392","101514.51842861608","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","45282.5233","3","False","20","System.Boolean[]","True","System.Boolean[]","True","ci-windows-small","True","True","System.Boolean[]","System.Boolean[]","System.String[]","False","True","2026-07-01 03:40:23","f2d2ebb09c6820599f7f98a4167e5b3ba617923f","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","12.37","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.51","High performance","0.11","145","True","False","7.6.3","21.0.11","""21.0.11""","v22.23.0","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
