"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","TestKIR","Enabled","JVM","JS","CILabel","Native","FlushEarly","Methods","InstrumentPropertyAccessors","Reference","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6740.889","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237114.44","232826","12787.641128808069","222952","289991","233569.8867190364","240658.9932809636","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","47770.0503","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"204467.02","203597","7779.168507820179","191760","225225","202310.74450088196","206623.29549911802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","5272.8593","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","6740.889","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236210.88","227766.5","22475.001658205198","217195","298424","229981.12737675925","242440.63262324076","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","47770.0503","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192024.84","190761","6405.406636425136","185016","225502","190249.35186420157","193800.32813579842","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3606.0597","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4979.4","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223283.16","219572.5","7901.2968875045935","215489","252816","221093.03224114553","225473.28775885448","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19618.2225","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"209499.94","209233.5","15419.166111296521","184894","239778","205225.9652083245","213773.91479167552","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","3606.0597","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4979.4","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"230118.14","225295.5","19716.13834153252","217958","336506","224653.105272917","235583.17472708304","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","19618.2225","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"197085.44","196437.5","7857.345564034526","187022","231346","194907.4949264617","199263.38507353832","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2145.1117","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3484.7815","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225517.22","222832","8414.30355877322","217933","258284","223184.8940466947","227849.5459533053","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18832.6992","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"194428.12","192027","8303.738852112441","183872","234117","192126.44101979988","196729.7989802001","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2145.1117","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3484.7815","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"225770.78","222832","11066.847417712903","216491","288514","222703.2064006747","228838.3535993253","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18832.6992","50","False","500","False","System.Boolean[]","System.Boolean[]","True","True","ci-windows-large","True","System.Boolean[]","System.String[]","System.Boolean[]","True","True","2026-09-08 02:18:07","e5249b1dac6abcc7a65cf88d60ab3e855fccb66d","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.37","High performance","0.07","143","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
