"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Methods","JVM","InstrumentPropertyAccessors","Common","Native","Enabled","Reference","JS","FlushEarly","CILabel","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3951.4745","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129729.68","129010","3811.945239343701","123929","142259","128673.06268732532","130786.29731267467","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18710.2064","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144500.54","144494","5327.909584366432","134856","159732","143023.7188093115","145977.3611906885","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2633.5127","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3951.4745","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129737.76","129199.5","4356.970397336355","122214","146237","128530.06942115285","130945.45057884714","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18710.2064","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145613.24","145146","6095.044851118231","132328","165442","143923.77976202214","147302.70023797784","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2176.9612","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4527.7574","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"129324.66","128456.5","4145.413431093922","123437","140367","128175.61002040427","130473.70997959573","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19351.0815","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146244.56","145431.5","5461.540991929898","133084","157106","144730.6980729202","147758.4219270798","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2176.9612","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4527.7574","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"128665.48","127995","3177.8137346680496","123888","136329","127784.63497267643","129546.32502732356","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","19351.0815","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144703.28","144782.5","4940.366387470567","134183","155542","143333.8803029424","146072.6796970576","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2019.1662","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3608.9776","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"130703.54","128879","9143.162785538554","123779","183392","128169.18457639845","133237.89542360153","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19475.3286","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145335.2","145275","4720.331058953646","136071","155159","144026.79098431722","146643.6090156828","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2019.1662","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3608.9776","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"127560","127027.5","3089.298051172724","121621","135894","126703.69026837248","128416.30973162752","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19475.3286","50","False","500","System.Boolean[]","System.String[]","True","System.Boolean[]","True","True","System.Boolean[]","True","True","System.Boolean[]","ci-linux-large","False","2026-07-02 03:50:11","224946ffe92e5ecfbe166c79b1a00a60d5642325","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.71","145","85","0.03","158","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
