"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","JVM","Common","CILabel","JS","Native","Dedicated","FlushEarly","Reference","InstrumentPropertyAccessors","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"57325.333333333336","65843","8032.571464564341","49887","65843","37383.62195472348","77267.04471194319","commonmain-plain-jar","1907.9567","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6042.4307","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8770","9940","1017.4178099483024","8093","9940","6244.1522802565205","11295.84771974348","commonmain-plain-exe","2390.7623","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"106221.66666666667","108933","4574.600784039339","100940","108933","94864.73459203588","117578.59874129746","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-jar","2138.444","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-node","3746.2309","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46863.666666666664","48151","1116.5309370247353","46159","48151","44091.760087352624","49635.573245980704","commonmain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-exe","2778.273","3","False","20","System.Boolean[]","True","True","ci-linux-small","True","True","False","System.Boolean[]","True","System.Boolean[]","2026-04-11 01:15:53","2d5a58e489cf861d7bc9822e0e27eef575a85820","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.73","145","86","0.05","160","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
