"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","FlushEarly","Methods","TestKIR","InstrumentPropertyAccessors","JVM","CILabel","JS","Enabled","Reference","Common","Native","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"85705.66666666667","121449","36750.31822084448","48025","121449","-5530.899639051888","176942.23297238525","commonmain-plain-jar","1750.5589","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","5764.2181","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"8441.333333333334","8687","227.4738080160732","8238","8687","7876.605456879157","9006.061209787511","commonmain-plain-linux-exe","16063.8575","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"106409.33333333333","114790","8360.572966808755","98069","114790","85653.32340557719","127165.34326108947","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2038.0164","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3741.2135","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"53950","68287","12530.221825650175","45095","68287","22842.39414060713","85057.60585939288","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19831.0672","3","False","20","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","ci-linux-small","True","System.Boolean[]","True","True","True","False","2026-04-29 15:00:52","e6416843e3fe2f92134eeced019a6bdfd0f0f45c","LB_otel_analysis","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.96","145","87","0.02","161","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
