"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Dedicated","Enabled","CILabel","JS","InstrumentPropertyAccessors","FlushEarly","JVM","Reference","Methods","TestKIR","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"223201.64","220625.5","10250.837122132505","208055","258721","220360.25291477572","226043.0270852243","commonmain-plain-jar","2851.6774","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8660.7802","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256766.64","257784.5","13543.31588547936","229483","281258","253012.62436306942","260520.6556369306","commonmain-plain-win-exe","119862.3581","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224272.1","221686.5","11791.920392404974","207048","262168","221003.54642590886","227540.65357409115","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4001.2128","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6655.2545","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231168.72","223486","15500.642947876422","214803","277829","226872.16098145163","235465.27901854838","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25287.7994","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185943.58","185068.5","4200.281779128828","178724","196781","184779.3212902648","187107.83870973517","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","4001.2128","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","6655.2545","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"254425.98","249537","23616.7938755195","216830","344414","247879.73872108822","260972.2212789118","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25287.7994","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"210953.74","210811.5","17622.69716182943","185333","241975","206068.9775629568","215838.50243704318","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2271.473","50","False","500","True","False","System.Boolean[]","ci-windows-large","True","System.Boolean[]","System.Boolean[]","True","True","System.String[]","System.Boolean[]","True","2026-09-05 02:13:32","a8cb27c525f15366feaa2ec0ddf196e5ba370c51","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.4","High performance","0.25","136","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
