"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","Enabled","Reference","Common","Methods","JVM","FlushEarly","InstrumentPropertyAccessors","CILabel","TestKIR","Native","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2657.1206","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145022.9","144827.5","2752.4195237452227","139231","151854","144259.9682321151","145785.8317678849","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14963.8095","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143398.82","142654.5","4944.268690646385","136163","158353","142028.33863968757","144769.30136031244","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1627.58","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2657.1206","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144813.46","145055.5","2557.30844803034","140663","154303","144104.61026308633","145522.30973691365","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14963.8095","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142013.42","141818","4139.502755754362","135037","151381","140866.00837602097","143160.83162397906","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1512.0821","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2789.3023","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144854.22","144384","3340.823296367382","138909","153880","143928.19102741792","145780.24897258208","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14090.8456","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141668.66","141233","3774.8612441589244","135079","150416","140622.32184635705","142714.99815364296","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1512.0821","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2789.3023","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147553.2","145852.5","11716.743158612719","139955","225539","144305.48449197656","150800.91550802346","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14090.8456","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142941.46","142385.5","4361.614147050964","134296","155648","141732.48223940283","144150.43776059715","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1371.4125","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2590.4561","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145103.32","144936","2337.6470765908775","140658","152050","144455.3572888477","145751.2827111523","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14109.6089","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143442.36","143253.5","4685.811740101544","135708","157391","142143.51925133856","144741.20074866142","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1371.4125","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2590.4561","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144583.78","144511","2149.8124103260348","139466","149666","143987.88240202074","145179.67759797926","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14109.6089","50","False","500","False","System.Boolean[]","True","True","System.String[]","True","System.Boolean[]","System.Boolean[]","ci-linux-large","System.Boolean[]","True","True","2026-09-17 04:00:10","4494094a9e26b8f7c6e0478581b103120e7437d1","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.66","145","83","0.04","168","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
