"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","TestKIR","Dedicated","Native","InstrumentPropertyAccessors","JS","Methods","CILabel","Reference","JVM","Enabled","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"185308.12","182640.5","13832.840528515715","178531","278006","181473.85222641204","189142.38777358795","commonmain-plain-jar","2595.3022","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","8035.3674","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"228715.64","228247.5","3425.992147434916","224457","239033","227766.00342634073","229665.2765736593","commonmain-plain-win-exe","96751.5701","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"182983.7","182450.5","2650.630046395978","179180","191404","182248.98283575242","183718.4171642476","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3971.3457","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4524.6408","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236115.94","238469","8833.353844332496","221960","260314","233667.45923365248","238564.42076634752","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25824.6528","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187608.06","187687.5","3890.0918273092157","181249","205345","186529.78155827275","188686.33844172725","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","3971.3457","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","4524.6408","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"224895.04","224471.5","3470.291500783207","220418","237697","223933.12427206404","225856.95572793597","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-win-exe","25824.6528","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"185611.12","185555.5","2944.109786384624","180585","198388","184795.054402152","186427.185597848","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3478.9056","50","False","500","True","System.Boolean[]","False","True","System.Boolean[]","True","System.String[]","ci-windows-large","True","True","System.Boolean[]","System.Boolean[]","2026-06-11 02:50:23","beb7b6f576658c38340adb93e4cdcdd101a2f535","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2793","16","12.57","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.52","High performance","1.6","129","True","False","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
