"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","TestKIR","Native","Methods","Dedicated","Reference","Common","JVM","FlushEarly","InstrumentPropertyAccessors","JS","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5821.1928","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"233740.86","231818","7517.232111133264","224806","255683","231657.18956579803","235824.53043420194","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24053.755","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187759.28","186483","6394.901176942232","178147","212636","185986.7038290044","189531.8561709956","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4236.9623","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5821.1928","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"234187.52","231130","10584.338249180306","225094","289280","231253.6911186559","237121.34888134408","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24053.755","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"193052.76","191599","9511.051772478977","179445","219851","190416.43095182182","195689.0890481782","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2976.5837","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4238.458","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"256562.64","239707","35521.632842916144","225773","359106","246716.54571487845","266408.73428512155","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23826.896","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"192688.14","190007.5","8299.186269454498","183347","215905","190387.72293133108","194988.55706866895","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2976.5837","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4238.458","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"248537.04","243669.5","19455.830196921142","226081","295372","243144.15900938408","253929.92099061594","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","23826.896","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"211440","213576","15114.92664182513","182216","240549","207250.35608677586","215629.64391322414","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3403.9172","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3714.7247","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"240956.1","238982","7214.777319176672","228812","262388","238956.26575688084","242955.93424311918","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23471.6869","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"206095.82","201889","17046.51568884985","187538","268159","201370.76691903808","210820.87308096193","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","3403.9172","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3714.7247","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"259067.82","246405.5","28058.525133021663","229384","317192","251290.3936304721","266845.2463695279","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","23471.6869","50","False","500","System.Boolean[]","System.Boolean[]","True","System.String[]","False","True","True","True","System.Boolean[]","System.Boolean[]","True","ci-windows-large","2026-09-06 02:08:37","739efd22ba7b945ea9a661f73ac3e3d71c6d671a","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","15.99","12.42","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","29.29","High performance","0.11","138","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
