"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","JS","JVM","Common","Enabled","CILabel","Reference","Native","TestKIR","FlushEarly","InstrumentPropertyAccessors","Methods","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3862.8916","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120119.22","119744.5","3382.1253388594437","113626","134906","119181.7426853233","121056.6973146767","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15216.4377","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142358.62","142104","4798.516577281877","131153","150419","141028.5390643186","143688.70093568138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2286.7379","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3862.8916","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120205.44","119862.5","3020.3596634054243","113714","129868","119368.23901455042","121042.64098544959","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15216.4377","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142279.06","141132.5","5618.713889480112","131039","156148","140721.63196842303","143836.48803157697","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2385.927","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3307.7466","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120023.28","119403","3368.868822689569","114823","131222","119089.47720413492","120957.08279586508","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13356.7177","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"141193.28","140726","4385.428255167846","129659","150204","139977.70130540658","142408.85869459342","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2385.927","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3307.7466","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120196.9","120208","2570.7296133389755","114103","129112","119484.33010586188","120909.4698941381","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","13356.7177","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140895.76","140830.5","6260.636828010782","130210","157063","139160.400007792","142631.11999220803","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1817.0741","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2451.8752","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120577.98","119915","3427.31424861735","115037","130844","119627.97695858979","121527.9830414102","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12840.1988","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"140781","139956","4498.430465513636","132459","149759","139534.09869075054","142027.90130924946","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1817.0741","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2451.8752","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"120842.44","119931.5","3239.366769563938","116330","130758","119944.53334187246","121740.34665812754","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","12840.1988","50","False","500","False","True","True","True","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","2026-06-03 04:23:58","bd3ab3d7c018bb34a7093603080f93675646fa7d","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.86","145","86","0.04","162","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
