"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","TestKIR","Reference","Enabled","Dedicated","JS","Native","InstrumentPropertyAccessors","Common","JVM","CILabel","Methods","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5622.5864","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"231922.1","229260.5","10451.900146062693","218894","266711","229024.9810879303","234819.21891206971","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","32489.8695","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"260435.3","260649.5","6389.490801627437","245735","272617","258664.22350852934","262206.37649147067","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","4638.6399","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5622.5864","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"232737.26","232424.5","5417.547456296482","217704","244784","231235.5924588511","234238.9275411489","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","32489.8695","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258285.28","258618","6951.790000116107","240563","278227","256358.34212261697","260212.21787738302","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2287.7596","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3818.8801","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"237747.22","235193.5","8177.648188164355","227515","265739","235480.49156870053","240013.94843129948","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17190.8569","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"268800","266291","10229.902922116044","253484","296637","265964.41557897354","271635.58442102646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2287.7596","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3818.8801","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229249.1","229364.5","6009.326473346686","216776","241280","227583.39968413042","230914.8003158696","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","17190.8569","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258379.32","258383.5","5504.68367342664","243206","269559","256853.4995317234","259905.1404682766","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1951.679","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2973.2491","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"236654.52","235631","9533.132012564369","219024","271395","234012.07062152392","239296.96937847606","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16140.3222","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"272027.82","268641","18235.18040255916","246091","354878","266973.2858702266","277082.3541297734","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1951.679","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2973.2491","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229108.9","229472.5","5282.197058545442","212046","241976","227644.74967501283","230573.05032498715","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","16140.3222","50","False","500","System.Boolean[]","True","System.Boolean[]","False","True","True","System.Boolean[]","True","True","ci-windows-large","System.String[]","System.Boolean[]","2026-09-09 02:21:27","147fc8662ecd852784e32f78c14727cb45a8d6fb","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","INTEL(R) XEON(R) PLATINUM 8573C","2","4","2300","15.99","12.46","2","Microsoft Corporation","None","1 + 15","Virtual_Disk NVME Premium","150","Fixed hard disk media","SCSI","26.5","High performance","0.09","145","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
