"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Enabled","Reference","JVM","Methods","TestKIR","FlushEarly","Native","InstrumentPropertyAccessors","Dedicated","JS","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2882.766","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136117.76","135503.5","3183.951924824217","128952","143519","135235.21355317006","137000.30644682996","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18538.0417","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154604.6","154416.5","5397.242795716937","144293","165276","153108.56062361982","156100.6393763802","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1741.2497","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2882.766","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136543.26","136587","2858.8487179710814","131356","143461","135750.82756457338","137335.69243542664","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","18538.0417","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152679.84","152458.5","5625.801734646451","139175","166814","151120.4473179776","154239.23268202238","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2303.0927","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4345.527","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"136155.76","135592","3868.2337136829606","128211","145692","135083.54031825744","137227.97968174258","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18085.3783","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154490.58","153997.5","5892.106155056016","143983","173187","152857.37149865724","156123.78850134273","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2303.0927","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4345.527","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137624.4","137448","3455.3334757402836","130051","146066","136666.63042507292","138582.16957492707","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","18085.3783","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152523.56","153417.5","4973.160364047254","140383","161527","151145.07027640037","153902.04972359963","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2017.562","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3222.8593","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137281.36","136686.5","4688.393161754214","131373","158843","135981.80371776232","138580.91628223765","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14415.7668","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154227.48","154026.5","5413.13219238593","142389","165261","152727.03630756747","155727.92369243255","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2017.562","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3222.8593","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137195.76","136354.5","4544.921824432637","128971","157478","135935.97194352854","138455.54805647148","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14415.7668","50","False","500","ci-linux-large","System.Boolean[]","True","True","System.String[]","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","False","True","True","2026-05-08 03:25:02","d7b15e654c89386d45ab2d8136e4605ac9f9ec82","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.8","145","86","0.23","154","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
