"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Enabled","InstrumentPropertyAccessors","TestKIR","Methods","FlushEarly","JVM","JS","Reference","CILabel","Native","Common","Dedicated","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3475.8461","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114951.12","114718.5","2852.460696683207","111041","129433","114160.45823373641","115741.78176626358","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14887.7538","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131582.76","131524","4215.407006083608","124517","142790","130414.30879125051","132751.2112087495","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2176.1902","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3475.8461","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"115499.74","115177.5","2398.991061820339","112230","127009","114834.77360365493","116164.70639634508","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14887.7538","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"132231.28","131853.5","4952.3283043721685","124961","145526","130858.56462874002","133603.99537125998","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2575.1145","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3086.6378","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"116038.64","115977.5","2007.4835476998844","113064","120630","115482.19394995799","116595.08605004201","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15409.5096","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131780.32","130612","4170.934346652034","125647","144223","130624.1959835226","132936.4440164774","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2575.1145","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3086.6378","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114981.18","115011.5","2114.727113094534","111343","119753","114395.00755024495","115567.35244975504","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","15409.5096","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131368.12","131574","4014.3529920137576","122455","139909","130255.39812069005","132480.84187930994","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2528.1828","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3563.1246","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"114701.44","114787","2145.2983157764957","110958","119735","114106.79364519258","115296.08635480743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13674.9579","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"131682.74","131182.5","4537.457032168515","123881","144424","130425.02107837872","132940.45892162126","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2528.1828","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3563.1246","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"115521.14","115214.5","2564.9844492507086","110904","127057","114810.16258410034","116232.11741589966","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","13674.9579","50","False","500","System.Boolean[]","System.Boolean[]","System.Boolean[]","System.String[]","System.Boolean[]","True","True","True","ci-linux-large","True","True","False","2026-07-13 03:17:20","b934471b9696f1d27b840b42a8c39dc5e41703d7","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","INTEL(R) XEON(R) PLATINUM 8573C","2","4","15.61","14.09","145","84","0.04","159","7.6.3","21.0.11","""21.0.11""","v22.23.1","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
