"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","InstrumentPropertyAccessors","Enabled","JVM","TestKIR","CILabel","Native","Reference","FlushEarly","JS","Dedicated","Methods","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5459.1554","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222193.98","218844","11004.990742589918","214502","283725","219143.55219625565","225244.40780374437","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","41590.3523","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"187661.58","185781","6397.13017956378","180791","210061","185888.38598099974","189434.77401900024","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","3419.2894","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5459.1554","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"222792.84","220059.5","12136.807222894919","215433","299848","219428.68867380897","226156.99132619103","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","41590.3523","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186219.78","184510","5182.044948528663","179136","210253","184783.3904235809","187656.1695764191","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2541.9437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3787.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223936.02","222374.5","7894.934029244478","215120","256486","221747.6559354731","226124.38406452688","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18660.8176","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186091.38","185300.5","4260.896604361718","179397","201851","184910.31971791148","187272.44028208853","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2541.9437","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3787.0906","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221864.68","219407","7354.4511815107235","215269","256202","219826.13013747815","223903.22986252184","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","18660.8176","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"186328.76","186014.5","3757.249154172586","179837","194786","185287.30366863505","187370.21633136497","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2027.8879","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3282.6884","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223127.1","219491.5","7950.233304881111","214870","251031","220923.40775829655","225330.79224170346","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17532.0329","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"188349.96","187318.5","4646.0718714955365","182250","206099","187062.13458092388","189637.7854190761","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2027.8879","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3282.6884","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"226288.92","221241.5","18408.97567219838","217241","345427","221186.21227925623","231391.6277207438","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","17532.0329","50","False","500","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","ci-windows-large","True","True","System.Boolean[]","True","False","System.String[]","True","2026-08-27 06:00:06","7d53d4699f2f6a1f505e8c0581553dde06e2dd0c","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.47","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.05","High performance","0.06","142","True","False","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
