"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Dedicated","CILabel","JVM","JS","Native","TestKIR","InstrumentPropertyAccessors","Reference","FlushEarly","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"59555.333333333336","87953","24646.300865106175","43738","87953","-1631.7249543561556","120742.39162102283","CommonMain-plain-jar","3664.4907","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"CommonMain-plain-node","8109.8903","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"10272.333333333334","10322","50.00333322222963","10222","10322","10148.194750379533","10396.471916287135","CommonMain-plain-exe","3333.6092","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"111533","119384","7804.915566487571","103775","119384","92156.46855575024","130909.53144424976","CommonMain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-jar","8925.7934","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"CommonMain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-node","9145.0402","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"76310.66666666667","77536","1189.3066607621995","75161","77536","73358.08662748437","79263.24670584897","CommonMain-k-perf-flushEarly-false-propAccessors-false-testKIR-false-exe","4556.9999","3","False","20","False","windows-small","True","True","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","True","2026-04-10 17:02:43","82b5f6fab47d6237da9e664c020b69026f7f98c6","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","16","13.46","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","32.6","High performance","0.07","139","True","False","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
