"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JS","FlushEarly","Methods","Reference","Enabled","Common","Dedicated","TestKIR","Native","InstrumentPropertyAccessors","JVM","CILabel","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3193.3466","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135792.6","135035","3266.367801127867","130976","146816","134887.20903776545","136697.99096223456","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15127.6402","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151349.94","149297","5573.394412926544","143514","163814","149805.07388642585","152894.80611357416","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1691.9968","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","3193.3466","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134898.6","134748.5","3587.8113048464065","127806","147870","133904.10944431633","135893.09055568368","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15127.6402","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"150825","150308.5","4931.343311628471","141147","164581","149458.10137196354","152191.89862803646","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.2581","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3039.8204","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"133698.86","133297.5","3320.183932758385","127507","142436","132778.55196713307","134619.1680328669","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14585.6792","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151938.3","151523.5","4844.052976041228","144189","165721","150595.59701854803","153281.00298145195","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1724.2581","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3039.8204","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134787.68","134835.5","3469.595915071026","126397","143496","133825.95707858662","135749.40292141336","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14585.6792","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"152736.88","152323","4374.267685135936","145365","164139","151524.39485758916","153949.36514241085","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1436.5056","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2460.5065","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"135028.62","134978","2752.7269069200515","129378","141196","134265.60302984595","135791.63697015404","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14484.3633","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"151411.34","150827.5","4776.418924171505","143482","160497","150087.38422126079","152735.2957787392","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1436.5056","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2460.5065","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"134385.08","134497.5","2724.0357353285476","129197","140685","133630.01581686703","135140.14418313294","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14484.3633","50","False","500","True","System.Boolean[]","System.String[]","True","System.Boolean[]","True","False","System.Boolean[]","True","System.Boolean[]","True","ci-linux-large","2026-09-20 03:59:52","ab517ced9549f88e52e9307b02d7b5c229650852","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.62","13.62","145","82","0.02","170","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
