"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","JVM","Common","Enabled","Dedicated","JS","Reference","Methods","InstrumentPropertyAccessors","FlushEarly","CILabel","Native","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5187.6832","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"253301.54","245081","23358.291623309953","229314","331764","246826.95188972005","259776.12811027997","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24429.1236","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"212534.62","198405","26944.975078769512","183880","280842","205065.85395793663","220003.38604206336","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2719.1943","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","5187.6832","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"249035.4","239599","23355.941091844583","226667","311707","242561.46342380156","255509.33657619843","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","24429.1236","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"190032.62","184244","14778.643508613839","176454","241743","185936.18901566166","194129.05098433833","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4792.6816","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4639.9061","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"229515.34","228475.5","6213.751801727309","221349","249516","227792.97587404028","231237.70412595972","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24113.3983","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"200951.04","199150","19712.995806620485","175542","231869","195486.8763391536","206415.20366084643","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","4792.6816","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4639.9061","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251018.94","248282","14021.491311132466","231408","301159","247132.3808973276","254905.49910267242","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","24113.3983","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198266.76","193856.5","14909.294299619049","183716","261277","194134.11446402912","202399.4055359709","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2732.7154","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3671.9075","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"269180.22","268363","17255.630072399854","237684","309904","264397.2033691665","273963.2366308334","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18450.3217","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"198862.88","187858","21226.840221314727","176005","250221","192979.10007584724","204746.65992415277","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2732.7154","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3671.9075","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"263054.64","265674.5","23324.93172180658","221163","306995","256589.29878264858","269519.98121735145","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","18450.3217","50","False","500","True","True","System.Boolean[]","False","True","True","System.String[]","System.Boolean[]","System.Boolean[]","ci-windows-large","True","System.Boolean[]","2026-08-16 00:49:17","321fa8e78b5b23f7499aedebdc8f263728797235","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","2794","16","12.22","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.38","High performance","0.12","137","True","False","7.6.4","21.0.12","""21.0.12""","v22.23.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
