"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","Native","Methods","FlushEarly","JVM","Enabled","Reference","Common","TestKIR","Dedicated","InstrumentPropertyAccessors","JS","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2904.566","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137361.12","137206.5","2846.866567054424","130983","144189","136572.0088473586","138150.23115264138","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14930.1972","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154459.74","152838","5059.21202548139","145959","167894","153057.39797277405","155862.08202722593","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1824.794","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2904.566","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"138821.44","138767.5","3733.8844202349737","131543","152346","137786.46004246373","139856.41995753627","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","14930.1972","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"156646.1","156213.5","6699.482941516714","143116","172210","154789.0980711911","158503.1019288089","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1633.8151","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2845.0689","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137257.7","136816.5","3581.261699058428","129943","152005","136265.02490241773","138250.3750975823","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14660.5801","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154161.06","153778.5","5981.033360344265","143047","167925","152503.20213493987","155818.91786506012","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1633.8151","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2845.0689","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137562.68","137157","3213.89637921426","132289","145770","136671.83337388086","138453.52662611913","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14660.5801","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154913.84","154487","5565.798933647884","144595","166445","153371.0792458683","156456.60075413168","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1352.3722","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2730.8269","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137597.32","137298.5","2530.369840193972","132240","143939","136895.93726421887","138298.70273578115","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14430.5544","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"154906.24","154966","5757.462697815306","143919","168362","153310.3527609069","156502.12723909307","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1352.3722","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2730.8269","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"137395.88","137403.5","2403.2939439911406","131347","143619","136729.72090556758","138062.03909443243","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14430.5544","50","False","500","ci-linux-large","True","System.String[]","System.Boolean[]","True","System.Boolean[]","True","True","System.Boolean[]","False","System.Boolean[]","True","2026-05-14 03:39:55","555372f412bf22cbc743af77acbde5890fbc7c58","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 7763 64-Core Processor","2","4","15.61","13.93","145","86","0.02","169","7.4.14","21.0.10","""21.0.10""","v22.22.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
