"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","Common","Dedicated","InstrumentPropertyAccessors","FlushEarly","JVM","Methods","Enabled","CILabel","Reference","JS","TestKIR","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"166212.98","149821","45365.47055226214","136853","389863","153638.3131111845","178787.6468888155","commonmain-plain-jar","2038.3937","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6389.6899","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"128369.02","127579","3035.1952261454826","124210","136679","127527.70680636006","129210.33319363995","commonmain-plain-linux-exe","16969.2337","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"147293.56","146605","5131.272353492289","139207","162304","145871.24386891036","148715.87613108964","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2212.5191","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3500.1005","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"130915.3","129630","3621.9001566716274","125717","142149","129911.36049666726","131919.23950333276","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16301.0959","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"148448.94","148155","4918.586442074925","138070","160478","147085.577395799","149812.30260420102","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-jar","2212.5191","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-node","3500.1005","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"128584.6","128046","2331.4766976825513","125927","136487","127938.34763062098","129230.85236937903","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-true-testKIR-false-linux-exe","16301.0959","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"146430.84","145641","4732.68678215231","139434","159792","145119.0061525784","147742.6738474216","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2562.7084","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4711.5198","50","False","500","True","True","False","System.Boolean[]","System.Boolean[]","True","System.String[]","System.Boolean[]","ci-linux-large","True","True","System.Boolean[]","2026-09-13 03:50:47","bed127193ffe13ee1d038c73a5159a80df44c98f","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.5 LTS","x86_64","Etc/UTC","runner","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","2","4","15.61","13.76","145","83","0.04","160","7.6.5","21.0.12.1","""21.0.12.1""","v22.23.2","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
