"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","FlushEarly","JVM","Reference","InstrumentPropertyAccessors","Native","CILabel","TestKIR","Dedicated","Methods","JS","Enabled","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","WindowsBuildNumber","TimeZone","Username","BIOSVersion","BIOSManufacturer","SecureBootEnabled","HyperVEnabled","CPU","CPUCores","CPULogicalProcessors","CPUMaxClockSpeedMHz","TotalRAMGB","AvailableRAMGB","RAMModuleCount","RAMManufacturer","RAMPartNumber","RAMModuleCapacitiesGB","DiskModel","DiskSizeGB","DiskMediaType","DiskInterfaceType","SystemDriveFreeSpaceGB","PowerPlan","SystemUptimeHours","RunningProcessCount","WindowsDefenderEnabled","WindowsDefenderRealTimeProtection","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4397.8077","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"247918.14","247874","15518.381575895795","227421","309930","243616.66408462034","252219.6159153797","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21961.2184","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"239425.78","221537.5","34758.17066549729","204360","318922","229791.30663374873","249060.25336625127","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2457.9376","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4397.8077","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251785.76","247907","18899.516575784877","227662","311533","246547.08127790107","257024.43872209894","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-win-exe","21961.2184","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"213730.28","213482.5","2706.32492008281","208460","221384","212980.1250043908","214480.4349956092","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2931.2627","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4174.0756","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"246703.3","243910","14763.861534095988","223882","298656","242610.96636995467","250795.6336300453","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20876.4234","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"223010.38","218355","16032.487667602827","208269","284614","218566.40114637176","227454.35885362825","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","2931.2627","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","4174.0756","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"265595.86","264813.5","8884.400364523362","238027","283258","263133.22986014397","268058.490139856","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-win-exe","20876.4234","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"258902.88","228284.5","92667.37785276842","189787","641265","233216.7933404083","284588.9666595917","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2546.4751","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3761.7516","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"251835.66","246343","19764.580035611223","226420","337870","246357.19792036992","257314.1220796301","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19600.5134","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"221679.84","220251.5","8487.608346481671","206385","237356","219327.19499620172","224032.48500379827","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2546.4751","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3761.7516","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
"335415.3","333718","27567.481534835013","278721","398572","327773.9839716614","343056.61602833855","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-win-exe","19600.5134","50","False","500","True","System.Boolean[]","True","True","System.Boolean[]","True","ci-windows-large","System.Boolean[]","False","System.String[]","True","System.Boolean[]","2026-05-17 02:17:53","83468494833cc36d2a79f3179b653df9c0683ea3","main","Microsoft Corporation","Virtual Machine","True","Microsoft Windows Server 2025 Datacenter 10.0.26100","64-bit","26100","UTC","runneradmin","Hyper-V UEFI Release v4.1","Microsoft Corporation","False","True","AMD EPYC 7763 64-Core Processor","2","4","2445","15.99","12.48","2","Microsoft Corporation","None","1 + 15","Microsoft Virtual Disk","150","Fixed hard disk media","SCSI","30.26","High performance","0.76","129","True","False","7.4.15","21.0.11","""21.0.11""","v22.22.2","Python 3.12.10","System.Object[]","Kotlin:        2.2.0"
