"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","CILabel","JS","JVM","TestKIR","InstrumentPropertyAccessors","Enabled","Reference","Native","FlushEarly","Methods","Dedicated","Common","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4184.4263","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"145155.12","144762","4335.2807344543","138435","157166","143953.44148897342","146356.79851102657","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20646.05","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143332.5","142384.5","5375.942071215168","135062","154889","141842.36488322166","144822.63511677834","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","2450.2503","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","4184.4263","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144159.18","143720","4017.1055408244442","138056","161246","143045.69515308566","145272.66484691433","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","20646.05","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143697.42","143765","4719.935580198578","133630","155429","142389.12060543537","145005.71939456466","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1757.7239","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3125.1334","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143862.9","143329","3920.790389132044","137349","158989","142776.1123510676","144949.6876489324","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14833.3901","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"144287.76","144119","4183.161247532437","135585","152931","143128.24685950862","145447.2731404914","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1757.7239","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","3125.1334","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143818.7","143170.5","3364.263174022156","138636","158238","142886.17382481348","144751.22617518654","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","14833.3901","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142938.16","142608","4314.921407092805","134677","153885","141742.124806601","144134.195193399","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1713.3528","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3126.3622","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142319.24","142490","3032.3217585452467","137448","154848","141478.7232909429","143159.75670905708","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14565.1964","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"143798.2","144228.5","5104.333996812945","133712","155077","142383.35080042572","145213.0491995743","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1713.3528","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3126.3622","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"142739.44","142824","3265.011848964342","136849","155412","141834.4248885296","143644.4551114704","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","14565.1964","50","False","500","ci-linux-large","True","True","System.Boolean[]","System.Boolean[]","System.Boolean[]","True","True","System.Boolean[]","System.String[]","False","True","2026-06-30 03:54:15","0c2de2a8c4c3817d8d63979c1f230cfa24625366","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.97","145","85","0.02","161","7.6.2","21.0.11","""21.0.11""","v22.23.0","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
