"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Common","Dedicated","CILabel","JS","FlushEarly","Native","Reference","InstrumentPropertyAccessors","Methods","Enabled","TestKIR","JVM","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2514.4962","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112247.52","111741","3245.3642369084064","107617","126527","111347.95092873942","113147.08907126059","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15515.4508","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110458.04","110121","3718.409106604817","100579","119861","109427.34958055361","111488.73041944638","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-jar","1404.4164","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-node","2514.4962","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112560.14","112161","3277.7847796389333","108158","125989","111651.58441277852","113468.69558722147","commonmain-k-perf-enabled-true-flushEarly-true-propAccessors-false-testKIR-false-linux-exe","15515.4508","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111067.22","110875.5","4152.11361612667","103411","118715","109916.3128238657","112218.12717613431","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1414.2542","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2566.7303","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111873.8","111619.5","1968.378862652913","108535","116589","111328.19321564336","112419.40678435664","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11488.6212","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"110146.66","109482.5","3699.780460171844","103634","119265","109121.13317790272","111172.18682209728","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-jar","1414.2542","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-node","2566.7303","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112855.68","111832.5","4370.936015387579","107327","137160","111644.11834932768","114067.24165067231","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-true-testKIR-false-linux-exe","11488.6212","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"111627.32","111666","4240.573793673661","104110","122060","110451.8929136336","112802.74708636642","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1212.68","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2047.7508","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112473.12","112353.5","3175.6750376085074","107214","126474","111592.86778925637","113353.37221074362","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11139.3541","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"109422.98","108789","3606.549792773573","100559","118313","108423.2954004584","110422.66459954159","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","1212.68","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","2047.7508","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"112172.62","111721","3093.1108037847257","106133","123525","111315.25342726751","113029.98657273248","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","11139.3541","50","False","500","True","False","ci-linux-large","True","System.Boolean[]","True","True","System.Boolean[]","System.String[]","System.Boolean[]","System.Boolean[]","True","2026-06-01 04:21:06","2f8ba9198e73e0e5b1d3271ed00b5761960a53a8","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","14.08","145","86","0.02","165","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
