"mean","median","stddev","min","max","ci95_lower","ci95_upper","executable","buildTimeMs","RepetitionCount","CleanBuild","StepCount","Native","JS","JVM","CILabel","Reference","Enabled","TestKIR","Common","InstrumentPropertyAccessors","Methods","Dedicated","FlushEarly","CollectionTimestamp","GitCommitHash","GitBranch","DeviceManufacturer","DeviceModel","IsVirtualMachine","OS","OSArchitecture","TimeZone","Username","CPU","CPUCores","CPULogicalProcessors","TotalRAMGB","AvailableRAMGB","DiskSizeGB","SystemDriveFreeSpaceGB","SystemUptimeHours","RunningProcessCount","PowerShellVersion","JavaVersion","JavaDistribution","NodeVersion","PythonVersion","GradleVersion","KotlinVersion"
"119305","126986","6796.950271996993","114068","126986","102430.84940241436","136179.15059758566","commonmain-plain-jar","1896.8937","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-plain-node","6451.8541","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"11440.666666666666","12241","741.5067992495641","10777","12241","9599.79732101017","13281.536012323162","commonmain-plain-linux-exe","16784.3044","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"103432","111718","11663.677464676395","90094","111718","74475.68250692089","132388.3174930791","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-jar","2147.4956","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
,,,,,,,"commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-node","3763.7739","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
"46053.666666666664","47059","1101.0437472386523","44877","47059","43320.20868007817","48787.12465325516","commonmain-k-perf-enabled-true-flushEarly-false-propAccessors-false-testKIR-false-linux-exe","19523.3639","3","False","20","True","True","True","ci-linux-small","True","System.Boolean[]","System.Boolean[]","True","System.Boolean[]","System.String[]","False","System.Boolean[]","2026-06-07 02:30:12","7136687d58e3e2558e73b920614db4d38f0a3f08","main","Microsoft Corporation","Virtual Machine","True","Ubuntu 24.04.4 LTS","x86_64","Etc/UTC","runner","AMD EPYC 9V74 80-Core Processor","2","4","15.61","13.81","145","86","0.02","159","7.4.16","21.0.11","""21.0.11""","v22.22.3","Python 3.12.3","System.Object[]","Kotlin:        2.2.0"
